code,partners
afgori2,eugori2:81:61 blnori1:72:33 ingori1:69:0 abhori1:63:0 slbori1:62:0 blhori1:59:0 bltori1:58:0 blwori1:58:0 dahori1:58:0 whlori1:56:0 wbhori1:55:6 phiori1:53:0 datori1:50:0 olbori1:49:0 grhori1:49:0 greori1:48:0 marori2:46:0 broori1:45:0 satori1:45:0 timori1:44:0 serori1:43:0 burori2:43:0 halori1:43:0 blaori1:42:0
afgowl1,ausgro1:65:0 brnowl:56:11 aumowl1:53:0 marowl2:50:44 sulowl1:49:0 asfowl1:48:0 afwowl1:47:22 minowl1:42:0 barowl5:41:0 marowl1:39:0 sooowl1:38:0 srlbao1:36:0 orbowl1:36:0 spoeao2:34:22
afgwea1,hogwea1:80:18 vilwea1:74:22 capwea1:71:22 afmwea:68:13 gopwea1:68:5 spewea1:66:5 banwea1:65:0 tagwea1:63:6 berwea2:62:0 bagwea1:61:1 lesmaw1:58:5 sbtwea1:58:2 blhwea1:57:0 kamwea1:57:0 bknwea2:57:0 vimwea1:57:0 slbwea1:56:0 strwea1:56:0 prgwea1:56:0 loawea1:55:0 nbtwea1:55:0 hemwea1:55:0 bkcwea1:54:0 litwea1:54:0
afhbab1,afhbab3:67:0 dohthb1:55:0 blackc1:55:0 indful1:55:0 whbful1:53:0 garwar1:52:0 sttful2:52:0 busbla1:52:0 taiful1:51:0 ludful1:51:0 sttful1:51:0 wrenti:51:0 gyhpar4:51:0 swagre1:49:33 ansgre1:49:33 yemwar1:49:0 brnwar1:49:0 easmog2:49:33 chiful1:49:0 beibab1:49:0 speful1:48:0 abycat1:48:0 yeebab1:48:0 rutbab1:48:0
afhbab3,afhbab1:67:0 dohthb1:54:0 whbful1:54:0 sttful2:52:0 indful1:51:0 blackc1:51:0 ludful1:51:0 sttful1:50:0 taiful1:50:0 speful1:50:0 busbla1:50:0 rutbab1:48:0 abycat1:48:0 yeebab1:47:0 gyhpar4:47:0 darwar1:47:0 beibab1:47:0 brnwar1:47:0 gobful1:47:0 garwar1:46:0 jerbab1:46:0 yemwar1:46:0 reswar1:46:0 gyhpar3:45:0
afhhaw1,mahhaw1:63:1 dacgos1:56:5 pacgos1:55:5 eacgos1:53:0 euhbuz1:51:13 blagos1:51:17 lizbuz1:50:6 secret2:49:4 waheag3:48:11 crahaw:47:0 jacbuz1:46:13 whtkit:46:0 lewkit1:46:0 norhar2:46:0 gryhaw2:45:0 auskit1:44:0 bkskit1:44:0 afrcuh1:44:4 gybhaw1:44:0 miskit:44:0 booeag1:43:8 gabgos2:43:0 taweag1:43:13 grykes1:43:1
afmdov1,reedov1:89:29 rindov:87:24 eucdov:79:30 vindov1:76:10 phicod1:66:0 afcdov1:66:3 iscdov1:65:0 laudov1:62:1 eutdov:62:1 recdov1:59:0 spodov:58:0 wwcdov1:58:0 ortdov:57:0 basdov1:57:0 adtdov1:55:0 peadov1:55:0 wepdov1:54:0 whwdov:54:1 zebdov:54:0 dutdov1:52:0 crepig1:52:0 bbwdov1:51:0 eswdov1:51:1 bswdov1:50:0
afmhar1,wemhar1:84:43 swahar1:71:0 blahar1:66:6 reuhar3:66:3 easmah1:64:0 spohar1:62:0 lowhar1:62:0 reuhar2:61:0 monhar1:59:12 easmah2:59:0 palhar1:58:6 piehar1:58:0 cinhar1:56:0 renbuz1:56:0 combuz6:56:0 rethaw:56:0 combuz1:55:1 sqtkit1:55:0 booeag1:53:0 lolbuz1:53:0 ruthaw1:53:0 redgos1:52:0 ferhaw:52:0 whikit1:52:0 jacbuz1:51:14 afhhaw1:40:14
afmwea,vilwea1:77:47 lesmaw1:74:19 capwea1:70:19 blhwea1:66:1 vimwea1:64:2 bagwea1:63:0 gobwea1:63:0 hemwea1:63:0 nbtwea1:62:0 bocwea1:61:0 ruewea1:61:2 kamwea1:60:0 spewea2:60:2 orawea1:59:0 litwea1:59:0 nomwea1:59:0 weywea1:59:0 gopwea1:58:0 afgwea1:58:3 hogwea1:58:1 sbtwea1:58:2 baywea1:57:1 bknwea2:57:0 chewea1:57:1
afpfly1,aspfly1:77:35 bhpfly1:73:27 mapfly1:68:8 blypaf2:65:0 batpaf1:63:12 rvpfly1:59:0 amupaf1:58:4 mapfly2:58:4 japfly1:56:8 sepfly1:53:4 stpfly1:53:0 rupfly1:49:0 brbfly1:48:0 frimon1:47:0 blpfly1:47:0 rarmon1:47:0 papfly1:46:0 rucmon1:46:0 spemon1:46:0 bawmon2:44:0 bltmon1:44:0 hoomon1:44:0 chtfly1:44:0 leafly2:44:0
