species_code,com_name,class_name
magsun1,Magnificent Sunbird,aves
scasun1,Javan Sunbird,aves
grtsun1,Green-tailed Sunbird,aves
gyhsun2,Gray-hooded Sunbird,aves
mewsun3,Metallic-winged Sunbird,aves
bltsun1,Black-throated Sunbird,aves
lovsun1,Lovely Sunbird,aves
eacsun1,Crimson Sunbird,aves
temsun1,Temminck's Sunbird,aves
tbosun1,Tboli Sunbird,aves
wecsun1,Vigors's Sunbird,aves
23450,Delicate Spiny Reed Frog,amphibia
23470,Brown Banana Frog,amphibia
23455,Fornasini's Spiny Reed Frog,amphibia
23466,Banded Banana Frog,amphibia
1431034,Banana Serotine,mammalia
conpea1,Congo Peacock,aves
blabus3,Black Bustard,aves
whqbus1,White-quilled Bustard,aves
23702,Red-eyed Tree Frog,amphibia
135027,Mexican Giant Tree Frog,amphibia
agaher1,Agami Heron,aves
gyhlov1,Gray-headed Lovebird,aves
fislov1,Fischer's Lovebird,aves
lillov1,Lilian's Lovebird,aves
blclov1,Black-cheeked Lovebird,aves
yeclov,Yellow-collared Lovebird,aves
rehlov1,Red-headed Lovebird,aves
peflov,Rosy-faced Lovebird,aves
blclov2,Black-collared Lovebird,aves
blwlov1,Black-winged Lovebird,aves
bawcow4,Grayish Baywing,aves
bawcow3,Pale Baywing,aves
resbla1,Red-shouldered Blackbird,aves
tasbla,Tawny-shouldered Blackbird,aves
rewbla,Red-winged Blackbird,aves
tribla,Tricolored Blackbird,aves
yesbla1,Yellow-shouldered Blackbird,aves
whbgui1,White-breasted Guineafowl,aves
blagui1,Black Guineafowl,aves
unibla2,Unicolored Blackbird,aves
yewbla2,Yellow-winged Blackbird,aves
paebla2,Pale-eyed Blackbird,aves
pubsun1,Purple-backed Sunbeam,aves
whtsun1,White-tufted Sunbeam,aves
shisun1,Shining Sunbeam,aves
blhsun1,Black-hooded Sunbeam,aves
vensyl1,Venezuelan Sylph,aves
vitsyl1,Violet-tailed Sylph,aves
lotsyl1,Long-tailed Sylph,aves
1501031,Ovate Shieldback,insecta
blaros1,Blanford's Rosefinch,aves
chafly2,Chat Flycatcher,aves
palfly2,Pale Flycatcher,aves
wtstyr1,White-tailed Shrike-Tyrant,aves
