idx,sci_name,com_name,species_code,class_name,common_name_de,common_name_es,common_name_pl,common_name_fr,common_name_nl,common_name_ru,common_name_ja,common_name_cs,common_name_ca,common_name_pt,common_name_no,common_name_bg,common_name_sv,common_name_da,common_name_tr,common_name_sk,common_name_sr,common_name_uk,common_name_zh-CN,common_name_fi,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et,common_name_it,common_name_zh-TW,common_name_eo,common_name_hu,common_name_ro,common_name_sl,common_name_lv,common_name_is,common_name_id,common_name_el,common_name_mk,common_name_be,common_name_af,common_name_se,common_name_ko,common_name_he,common_name_ar,common_name_th,common_name_ml
4553,Falco newtoni,Malagasy Kestrel,madkes1,aves,Madagaskarfalke,Cernícalo de Aldabra,pustułka malgaska,Crécerelle malgache,Madagaskartorenvalk,Мадагаскарская пустельга,マダガスカルチョウゲンボウ,poštolka madagaskarská,xoriguer de Madagascar,peneireiro-malgaxe,madagaskarfalk,Мадагаскарска ветрушка,madagaskarfalk,Madagascar Tårnfalk,Madagaskar Kerkenezi,sokol hrdzavochrbtý,Madagaskarska vetruška,Боривітер мадагаскарський,马岛隼,madagaskarintuulihaukka,Cernícalo de Aldabra,Cernícalo de Aldabra,Cernícalo de Aldabra,Malagasy kestrel,madagaskarska vjetruša,Madagaskarinis pelėsakalis,Malagasy Kestrel,Cudyll coch Madagasgar,madagaskari tuuletallaja,Gheppio del Madagascar,馬達加斯加隼,madagaskara falko,madagaszkári vércse,,,,,,,,,,,,,,,
4554,Falco novaeseelandiae,New Zealand Falcon,nezfal1,aves,Maorifalke,Halcón Maorí,sokół nowozelandzki,Faucon de Nouvelle-Zélande,Nieuw-Zeelandse valk,Новозеландский чеглок,ニュージーランドハヤブサ,ostříž novozélandský,falcó de Nova Zelanda,falcão-maori,maorifalk,Новозеландски сокол,nyazeelandfalk,Newzealandsk Falk,Yeni Zelanda Doğanı,sokol jastrabovitý,Novozelandski soko,Сокіл новозеландський,新西兰隼,uudenseelanninhaukka,Halcón maorí,Halcón Maorí,Halcón Maorí,New zealand falcon,novozelandski sokol,Naujosios Zelandijos sakalas,شاهین نیوزیلند,Hebog Seland Newydd,maoori pistrik,Falco di Nuova Zelanda,鶉隼,novzelanda falko,új-zélandi sólyom,,,,,,,,,,,,,,,
4555,Falco peregrinus,Peregrine Falcon,perfal,aves,Wanderfalke,Halcón Peregrino,sokół wędrowny,Faucon pèlerin,Slechtvalk,Сапсан,ハヤブサ,sokol stěhovavý,falcó pelegrí,falcão-peregrino,vandrefalk,Сокол скитник,pilgrimsfalk,Vandrefalk,Gökdoğan,sokol sťahovavý,Sivi soko,Сапсан,游隼,muuttohaukka,Halcón peregrino,Halcón Peregrino,Halcón Peregrino,Falcão-peregrino,sivi sokol,Sakalas keleivis,شاهین بحری,Hebog tramor,rabapistrik,Falco pellegrino,遊隼,migra falko,vándorsólyom,Şoim călător,sokol selec,lielais piekūns,Förufálki,Alap-alap kawah,Πετρίτης,сив сокол,Сокал-падарожнiк,Swerfvalk,Bárbmofálli,매,בז נודד,شاهين,เหยี่ยวเพเรกริน,കായൽപ്പുള്ള്
4556,Falco punctatus,Mauritius Kestrel,maukes1,aves,Mauritiusfalke,Cernícalo de Mauricio,pustułka maskareńska,Crécerelle de Maurice,Mauritiustorenvalk,Маврикийская пустельга,モーリシャスチョウゲンボウ,poštolka mauricijská,xoriguer de l'illa de Maurici,peneireiro-das-maurícias,mauritiusfalk,Маврицийска ветрушка,mauritiusfalk,Comorer Tårnfalk,Morityus Kerkenezi,sokol bodkavý,Mauricijska vetruška,Боривітер маврикійський,毛里求斯隼,mauritiuksentuulihaukka,Cernícalo de Mauricio,Cernícalo de Mauricio,Cernícalo de Mauricio,Mauritius kestrel,Mauricijuska vjetruša,Mauricinis pelėsakalis,دلیجه موریس,Cudyll coch Mauritius,mauritiuse tuuletallaja,Gheppio di Mauritius,模里西斯隼,maŭricia falko,mauritiusi vércse,,,,,,,,,,,,,,,
4557,Falco rufigularis,Bat Falcon,batfal1,aves,Fledermausfalke,Halcón Murcielaguero,sokół białogardły,Faucon des chauves-souris,Vleermuisvalk,Вечерний сокол,コウモリハヤブサ,ostříž netopýří,falcó dels ratpenats,cauré,flaggermusfalk,Сокол прилепар,fladdermusfalk,Flagermusfalk,Yarasa Doğanı,sokol netopierí,Soko koji lovi slepe miševe,Підсоколик смугастогрудий,食蝠隼,pikkujalohaukka,Halcón murcielaguero,Halcón Murcielaguero,Halcón Cazamurciélagos (Murcielaguero),Cauré,sokol šišmišar,Vakarinis sakalas,شاهین خفاشی,Hebog ystlum,nahkhiirepistrik,Falco dei pipistrelli,蝠隼,vesperta falko,denevérsólyom,,,,,,,,,,,,,,,
4558,Falco rupicoloides,Greater Kestrel,grekes1,aves,Steppenfalke,Cernícalo Ojiblanco,pustułka stepowa,Crécerelle aux yeux blancs,Grote torenvalk,Большая пустельга,メジロチョウゲンボウ,poštolka bělooká,xoriguer ullblanc,peneireiro-d'olho-branco,slettefalk,Голяма ветрушка,vitögd falk,Afrikansk Tårnfalk,Büyük Kerkenez,sokol bielooký,Velika vetruška,Боривітер великий,黄眼隼,savannituulihaukka,Cernícalo ojiblanco,Cernícalo Ojiblanco,Cernícalo Ojiblanco,Greater kestrel,velika vjetruša,Didysis pelėsakalis,دلیجه بزرگ,Cudyll coch mawr,valgesilm-tuuletallaja,Gheppio maggiore,巨隼,blankokula falko,szavannavércse,,,,,,,,,Grootrooivalk,,,,,,
4559,Falco rupicolus,Rock Kestrel,eurkes1,aves,Felsenfalke,Cernícalo Africano,pustułka skalna,Crécerelle des rochers,Rotsvalk,Скальная пустельга,ミナミアフリカチョウゲンボウ,poštolka jihoafrická,xoriguer de roca,peneireiro-africano,klippefalk,Капска ветрушка,klippfalk,Klippefalk,Kaya Kerkenezi,sokol savanový,Kamenjarska vetruška,Боривітер савановий,岩隼,Rock Kestrel,Cernícalo africano,Cernícalo Africano,Cernícalo Africano,Rock kestrel,Rock Kestrel,Rock Kestrel,Rock Kestrel,Rock Kestrel,tuuletallaja (harilik tuuletallaja),Falco sudafricano,岩隼,roka falko,,,,,,,,,,Rooivalk (Kransvalk),,,,,,
4560,Falco rusticolus,Gyrfalcon,gyrfal,aves,Gerfalke,Halcón Gerifalte,białozór,Faucon gerfaut,Giervalk,Кречет,シロハヤブサ,raroh lovecký,grifó,gerifalte,jaktfalk,Северен сокол,jaktfalk,Jagtfalk,Ak Sungur,sokol poľovnícky,Severni soko,Кречет,矛隼,tunturihaukka,Halcón gerifalte,Halcón Gerifalte,Halcón Gerifalte,Gerifalte,veliki sokol,Medžioklinis sakalas,شاهین چرخان,Hebog y Gogledd,jahipistrik,Girfalco,矛隼,ĉasfalko,északi sólyom,,arktični sokol,medību piekūns,Fálki,,,,,,Rievssatfálli,흰매,בז צפון,,,
4561,Falco severus,Oriental Hobby,orihob1,aves,Malaienbaumfalke,Alcotán Filipino,sokół rdzawobrzuchy,Faucon aldrovandin,Oosterse boomvalk,Восточный чеглок,ミナミチゴハヤブサ,ostříž rezavobřichý,falcó mostatxut oriental,ógea-oriental,libellefalk,Азиатски сокол орко,orientlärkfalk,Orientalsk Lærkefalk,Asya Delice Doğanı,sokol čiernochrbtý,Indonezijski lastavičar,Підсоколик східний,猛隼,idännuolihaukka,Alcotán filipino,Alcotán Filipino,Alcotán Filipino,Oriental hobby,riđotrbi sokol,Rytinis sketsakalis,لیل خاوری,Hebog ehedydd y Dwyrain,ida-lõopistrik,Lodolaio orientale,猛隼,orienta falko,keleti kabasólyom,,,,,Alap-alap macan,,,,,,,,,เหยี่ยวฮอบบี้,ചെമ്പുള്ള്
4562,Falco sparverius,American Kestrel,amekes,aves,Buntfalke,Cernícalo Americano,pustułka amerykańska,Crécerelle d'Amérique,Amerikaanse torenvalk,Воробьиная пустельга,アメリカチョウゲンボウ,poštolka pestrá,xoriguer americà,quiriquiri,spurvefalk,Американска ветрушка,sparvfalk,Amerikansk Tårnfalk,Ala Kerkenez,sokol pestrý,Američka vetruška,Боривітер американський,美洲隼,amerikantuulihaukka,Cernícalo americano,Cernícalo Americano,Cernícalo Americano (Quilico),Peneireiro-americano,američka vjetruša,Amerikinis pelėsakalis,دلیجه آمریکایی,Cudyll coch America,ameerika tuuletallaja,Gheppio americano,美洲隼,amerika falko,tarka vércse,,ameriška postovka,raibais piekūns,Skrúðfálki,,,,,,Amerihkábieggafálli,,בז אמריקני,,,
