idx,sci_name,com_name,species_code,class_name,common_name_de,common_name_es,common_name_pl,common_name_fr,common_name_nl,common_name_ru,common_name_ja,common_name_cs,common_name_ca,common_name_pt,common_name_no,common_name_bg,common_name_sv,common_name_da,common_name_tr,common_name_sk,common_name_sr,common_name_uk,common_name_zh-CN,common_name_fi,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et,common_name_it,common_name_zh-TW,common_name_eo,common_name_hu,common_name_ro,common_name_sl,common_name_lv,common_name_is,common_name_id,common_name_el,common_name_mk,common_name_be,common_name_af,common_name_se,common_name_ko,common_name_he,common_name_ar,common_name_th,common_name_ml
4542,Falco dickinsoni,Dickinson's Kestrel,dickes1,aves,Schwarzrückenfalke,Cernícalo Dorsinegro,sokół białorzytny,Faucon de Dickinson,Dickinsontorenvalk,Темноспинная пустельга,ハイガシラチョウゲンボウ,poštolka světlehlavá,xoriguer argentat,peneireiro-de-dickinson,hvitgumpfalk,Белоглава ветрушка,palmfalk,Palmefalk,Dickinson Kerkenezi,sokol tmavochrbtý,Beloglava vetruška,Боривітер білоголовий,灰头隼,erakkotuulihaukka,Cernícalo dorsinegro,Cernícalo Dorsinegro,Cernícalo Dorsinegro,Dickinson's kestrel,bjeloglava vjetruša,Juodnugaris sakalas,Dickinson's Kestrel,Cudyll Dickinson,kahkpea-tuuletallaja,Gheppio di Dickinson,灰頭隼,nigradorsa falko,hamvasfejű vércse,,,,,,,,,Dickinsongrysvalk,,,,,,
4543,Falco duboisi,Reunion Kestrel,reukes1,aves,Réunionfalke,Cernícalo de Reunión,pustułka reuniońska,Crécerelle de La Réunion,Réuniontorenvalk,Реюньонская пустельга,レユニオンチョウゲンボウ,poštolka réunionská,xoriguer de la Reunió,peneireiro-da-reunião,réunionfalk,Реюнионска ветрушка,réunionfalk,Réunion Tårnfalk,Reünyon Kerkenezi,sokol réunionský,Vetruška sa ostrva Reunion (izumrla),Боривітер реюньйонський,留岛隼,réunionintuulihaukka,Cernícalo de Reunión,Cernícalo de Reunión,Cernícalo de Reunión,Reunion kestrel,reunionska vjetruša,reunjoninis pelėsakalis,Reunion Kestrel,Reunion Kestrel,réunioni tuuletallaja,Gheppio di Réunion,留尼旺隼,reunia falko,réunioni vércse,,,,,,,,,,,,,,,
4544,Falco eleonorae,Eleonora's Falcon,elefal1,aves,Eleonorenfalke,Halcón de Eleonora,sokół skalny,Faucon d'Éléonore,Eleonora's valk,Алет,エレオノラハヤブサ,ostříž jižní,falcó d'Elionor,falcão-da-rainha,eleonorafalk,Средиземноморски сокол,eleonorafalk,Eleonorafalk,Ada Doğanı,sokol ostrovný,Morski soko,Підсоколик Елеонори,埃莉氏隼,välimerenhaukka,Halcón de Eleonora,Halcón de Eleonora,Halcón de Eleonora,Falcão-da-rainha,eleonorin sokol,Eleonoros sakalas,شاهین الئونورا,Hebog Eleonora,vahemere pistrik,Falco della Regina,埃歐諾拉氏隼,eleonora falko,Eleonóra-sólyom,Şoim mediteranean,sredozemski sokol,Eleonoras piekūns,Eyfálki,,Μαυροπετρίτης,медитерански сокол,,Eleonoravalk,Eleonorafálli,,בז חופים,صقر اليونورا,,
4545,Falco fasciinucha,Taita Falcon,taifal1,aves,Taitafalke,Halcón Taita,sokół maskowy,Faucon taita,Taitavalk,Короткохвостый сокол,タイタハヤブサ,sokol taitský,falcó dels Taita,falcão-taita,svalefalk,Африкански сокол,taitafalk,Taitafalk,Taita Doğanı,sokol taitský,Soko sa planine Taita,Сокіл-малюк,泰塔隼,rotkojalohaukka,Halcón taita,Halcón Taita,Halcón Taita,Taita falcon,kratkorepi sokol,Keninis sakalas,شاهین تایتا,Hebog Taita,kaljupistrik,Falco delle Taita,泰塔隼,taita falko,Taita-sólyom,,,,,,,,,Taitavalk,,,,,,
4546,Falco femoralis,Aplomado Falcon,aplfal,aves,Aplomadofalke,Halcón Aleto,sokół rdzawobrewy,Faucon aplomado,Aplomadovalk,Апломадо,オナガハヤブサ,ostříž aplomado,falcó cellut,falcão-de-coleira,aplomadofalk,Белогръд сокол,aplomadofalk,Aplomadofalk,Kurşuni Doğan,sokol aplomado,Aplomado soko,Сокіл мексиканський,黄腹隼,keikarijalohaukka,Halcón aleto,Halcón Fajado,Halcón Aplomado,Falcão-de-coleira,šareni sokol,Pietų Amerikos sakalas,Aplomado Falcon,Hebog aplomado,tandempistrik,Falco aplomado,黃腹隼,plumba falko,Aplomodo-sólyom,,,melnkrūšu piekūns,,,,,,,,,,,,
4547,Falco hypoleucos,Gray Falcon,gryfal1,aves,Silberfalke,Halcón Gris,sokół siwy,Faucon gris,Grijze valk,Серый сокол,ハイイロハヤブサ,raroh šedý,falcó gris,falcão-cinzento,sølvfalk,Сив сокол,gråfalk,Gråfalk,Gri Sırtlı Doğan,sokol popolavý,Australijski svetlosivi soko,Сокіл сірий,澳洲灰隼,hopeajalohaukka,Halcón gris,Halcón Gris,Halcón Gris,Gray falcon,pepeljasti sokol,Pilkasis sakalas,شاهین خاکستری,Hebog llwyd,hõbepistrik,Falco grigio,澳洲灰隼,griza falko,,,,,,,,,,,,,,,,
4548,Falco jugger,Laggar Falcon,lagfal1,aves,Laggarfalke,Halcón Yággar,raróg indyjski,Faucon laggar,Indische lannervalk,Лаггар,ラガーハヤブサ,raroh lagar,falcó làgar,falcão-caçador,rajafalk,Индийски сокол,juggerfalk,Laggarfalk,Lagger Doğanı,sokol lagar,Indijski soko,Лагар,印度猎隼,intianjalohaukka,Halcón yággar,Halcón Yággar,Halcón Yággar,Laggar falcon,indijski sokol,Sakalas lagaras,شاهین بلوچی,Hebog coronog,india kõnnupistrik,Falco laggar,印度獵隼,hindia falko,indiai sólyom,,,Indijas piekūns,,,,,,,,,,,,
4549,Falco longipennis,Australian Hobby,aushob1,aves,Australbaumfalke,Alcotán Australiano,sokół australijski,Petit Faucon,Australische boomvalk,Австралийский чеглок,オーストラリアチゴハヤブサ,ostříž australský,falcó mostatxut australià,ógea-australiana,eukalyptusfalk,Австралийски сокол орко,australisk lärkfalk,Australsk Lærkefalk,Avustralya Delice Doğanı,sokol dlhokrídly,Australijski lastavičar,Підсоколик австралійський,姬隼,australiannuolihaukka,Alcotán australiano,Alcotán Australiano,Alcotán Australiano,Ógea-australiana,australski sokol,Australinis sketsakalis,لیل استرالیایی,Hebog Awstralia,austraalia lõopistrik,Lodolaio australiano,姬隼,longflugila falko,ausztrál kabasólyom,,,,,Alap-alap australia,,,,,,,,,,
4550,Falco mexicanus,Prairie Falcon,prafal,aves,Präriefalke,Halcón Mexicano,sokół preriowy,Faucon des prairies,Prairievalk,Мексиканский сокол,ソウゲンハヤブサ,raroh prériový,falcó de praderia,falcão-das-pradarias,præriefalk,Прериен сокол,präriefalk,Præriefalk,Çayır Doğanı,sokol prériový,Prerijski soko,Сокіл прерієвий,草原隼,preeriahaukka,Halcón mexicano,Halcón Mexicano,Halcón Mexicano,Prairie falcon,prerijski sokol,Prerinis sakalas,شاهین دشتی,Hebog paith,preeriapistrik,Falco di prateria,草原隼,preria falko,prérisólyom,,,prēriju piekūns,,,,,,,,,,,,
4551,Falco moluccensis,Spotted Kestrel,spokes1,aves,Molukkenfalke,Cernícalo Moluqueño,pustułka plamista,Crécerelle des Moluques,Molukse torenvalk,Молуккская пустельга,モルッカチョウゲンボウ,poštolka molucká,xoriguer de les Moluques,peneireiro-das-molucas,indonesiafalk,Молукска ветрушка,moluckfalk,Moluk Tårnfalk,Maluku Kerkenezi,sokol škvrnitý,Molučka vetruška,Боривітер молуцький,斑隼,sundantuulihaukka,Cernícalo moluqueño,Cernícalo Moluqueño,Cernícalo Moluqueño,Peneireiro-das-molucas,indonezijska vjetruša,Molukinis pelėsakalis,Spotted Kestrel,Cudyll coch Molwcaidd,sunda tuuletallaja,Gheppio macchiato,斑隼,moluka falko,szunda vércse,,,,,Alap-alap sapi,,,,,,,,,,
4552,Falco naumanni,Lesser Kestrel,leskes1,aves,Rötelfalke,Cernícalo Primilla,pustułeczka,Faucon crécerellette,Kleine torenvalk,Степная пустельга,ヒメチョウゲンボウ,poštolka jižní,xoriguer petit,francelho,rødfalk,Белошипа ветрушка,rödfalk,Lille Tårnfalk,Küçük Kerkenez,sokol bielopazúravý,Belonokta vetruška,Боривітер степовий,黄爪隼,pikkutuulihaukka,Cernícalo primilla,Cernícalo Primilla,Cernícalo Primilla,Francelho,bjelonokta vjetruša,Stepinis pelėsakalis,دلیجه کوچک,Cudyll coch bach,stepi-tuuletallaja,Grillaio,黃爪隼,ruĝa falko,fehérkarmú vércse,Vânturel mic,južna postovka,mazais piekūns,Kliðfálki,,Κιρκινέζι,степска ветрушка,,Kleinrooivalk,Ruksesfálli,흰발톱황조롱이,בז אדום,عويسق,,ചെറുവിറയൻപുള്ള്
