common_name_sl







brezovček




















skobec



















žalostna majna

pepelasti lunj


stepski lunj



močvirski lunj









































brškinka



























zakrinkani lovač



čopasta kukavica
jakobinska kukavica

veliki klinkač

mali klinkač
zimska raca












































dlesk



rumenokljuni kukavec
črnokljuni kukavec










































grahasta žolna





















virginijski kolin



























stepska kavka
kavka








kanarski golob


mali duplar





lovorov golob


skalni golob

duplar



grivar







madeirski golob




























































































abesinska zlatovranka

indijska zlatovranka
lastovičja zlatovranka
beloglava modrovranka
zlatovranka
progasta zlatovranka
lopatasta zlatovranka
modrovranka









































rubinastoglavi kraljiček


beloprsa vrana




krokar
siva vrana
črna vrana






poljska vrana


















kratkorepi krokar
puščavski krokar



domača vrana




























čopasti vodomec
džungelski vodomec
oranžni vodomec
madagaskarski vodomec





















prepelica























































kosec






























































































































kukavica








ruska kukavica











taščična penica
rjava penica
