common_name_ar




























































دعفوص المحول
دعفوص السنغال
جلاجو الأمير ديميدوف
جلاجو توماس













كابياء صفراء الأسنان سبيكس






شره صغير










شنقب شائع





شنقب كبير






شنقب رفيع الذيل


دجاجة الماء الاوراسية
























































أبو زُريق الأوراسي






غواص قطبي


غواص أحمر الحنجرة



غزال عربي







خرشنة نيلية
زباد شائع




























































































أبو منجل الأقرع الشمالي


























أبو اليسر شرقي
أبواليسر أسود الجناح


أبو اليسر مطوق









































الحوت طيار طويل الزعنفة
































































































زغبة السافانا الكبيرة
زغبة الغابات الإفريقية





كركي شائع




رهو
جدجد المنازل الأسيوي


جدجد الخلد الأوربي




جدجد ثنائي البقع





















غاقة أوروبية







































دوري اصفر الحنجرة

النسر الملتحي




نسر اسمر اوراسي


نسر روبل






















محاري اوراسي






















صياد السمك أبيض الصدر
عقاب البحر بيضاء الذيل





فقمة رمادية




















































































نمس قزم شائع

هازجة جندبية بالاسية







قنفذ طويل الأذن























































يغورندي
نمس مصري
نمس صغير رمادي



























وبر منقط أصفر


























عقاب مسيرة











أبو المغازل






هازجة ليمونية
هازجة الشجر
هازجة الزيتون

فرس النهر




ظبي سابل





سنونو حبشي












سنونو شائع






جبون هولوك الغربي

جبون هولوك سكاي ووكر























ضبع مخطط




نوء ازر





نوء ليتش





نوء سوينهو

نوء أوروبي



خنزير الماء
كـابيبارا صغيرة

نورس صغير
جرذ الماء الشائع


أيل الماء
خرشنة قزوينية























ضفدع الشجر الشرقي

ضفدع شجر الشرق الأوسط










