common_name_mk







огнено конопјарче



белоопашест орел





















































































































































































































мал орел











долгоног пескар






жолто гушанче
планинско гушанче
маслинар
брбливо гушанче
























селска ластовичка



















































мала бурница






мал галеб




касписка рибарка









































































































































































голем црноглав галеб

медитерански галеб



















































мало гушанче
африканско жолто гушанче
големо сиво гушанче
сиво гушанче
источно мало гушанче
планинско жолто гушанче


























































































вртивратка





































































алпска кокошка

































































































обично страче



големо страче








мало страче

нубиско страче


црвеноглаво страче














касписки галеб

обичен галеб



мал црногрб галеб





голем морски галеб
жолтоног галеб






















































































































































































































































црноопашна блатарка
конопјарче
нордиско конопјарче


















































речен цвркотник



штурче трскарче





полски трскар




















































цуцулеста сипка





































































крстоклун



















шумска чучулига




