common_name_lv







parastais ķeģis
raibais tārtiņš




briļļu žubīte







Sibīrijas rubīnrīklīte
melnrīklīte
ugunsrīklīte
melnkrūšu rubīnrīklīte

Kalifornijas paipala

tuksneša paipala
zvīņotā paipala



























dzeltenknābja vētrasputns
Kaboverdes vētrasputns
baltpieres vētrasputns



Lucifera kolibri




Annas kolibri
Kostas kolibri
































baltknābja dzilna


















Labradoras pīle
zilganais tirāniņš


















kaktusu ceplītis













Kanādas rubenis






































Ēģiptes vakarlēpis


Indijas vakarlēpis







vakarlēpis




džungļu vakarlēpis
Sahelas vakarlēpis




dūkainais vakarlēpis



Nūbijas vakarlēpis


Abesīnijas vakarlēpis



rudkakla vakarlēpis








dienvidu karakara
Kanādas ķauķis
Vilsona ķauķis

sarkansejas ķauķis

sarkanais kardināls

pelēkais kardināls

dadzītis
citronģirlicis
Korsikas ģirlicis









brūnsprākles svilpis
mazais svilpis
Boninas dižknābis


skaistais svilpis
sarkankrūšu svilpis
kardinālsvilpis
Tibetas svilpis
sārtaču svilpis
raibspārnu svilpis
Sibīrijas svilpis
dižais svilpis
dižsārtais svilpis
garastes svilpis
Tibetas žubīte
sarkanais svilpis

sarkanaču svilpis
Sinajas svilpis
baltaču svilpis
baltsvītru svilpis

vīnsārtais svilpis






blāvais akmeņzvirbulis




















tītaru grifs



Jaunanglijas strazds



rūsganais strazds

vientuļais strazds


pelēkvaigu strazds

briļļu strazds
kanjonu ceplītis
raibais cekulfazāns



















Daurijas bezdelīga


















Ganisonas rubenis
vībotņu rubenis


Bairda zvirbulis
Henslova zvirbulis




















Senegālas koukals


baltaču koukals








ugunspierīte
briļļainais alks
baložu alks
melnais alks





































rudastes strazdīgala



melnā strazdīgala


degunragalks
brūnā mizložņa
īspirkstu mizložņa
tumšā mizložņa
mizložņa
svītrastes mizložņa


rudsānu mizložņa
Sičuaņas mizložņa













raibais dzenītis
pelēksānu cetija
bērgalvas īsastīte
cetija
lielā cetija













































skursteņu svīre

Voksa svīre
















zaļspārnu ūbele






















krūmāju tarkšķis












smilšu tārtiņš
gaišais tārtiņš
Amerikas tārtiņš
skaļais tārtiņš

















bezdelīgklīja

dzeltenā vēdekļastīte









Dipona cīrulis






















apkakles sīga
Sahāras sīga

baltvaigu zīriņš
baltspārnu zīriņš
melnais zīriņš












melngalvas zaļžubīte
zaļžubīte

kapuces zaļžubīte
Himalaju zaļžubīte






zaļais dzenītis










































































cīruļzvirbulis
lielknābja klīja

mazais lēlis
Antiļu lēlis
Amerikas lēlis















brūngalvas kaija
melnknābja kaija
pelēkgalvas kaija
tievknābja kaija



melnknābja ķīris
lielais ķīris


dīderikdzeguze


Klāsa dzeguze
















dimanta fazāns
zelta fazāns









































lietus stārķis
melnknābja stārķis
baltais stārķis
bīskapstārķis


melnais stārķis







































ūdensstrazds

Amerikas ūdensstrazds
Āzijas ūdensstrazds





ametista strazds

purpura nektārputns




















spožais nektārputns



















Palestīnas nektārputns























čūskērglis



niedru lija




lauku lija


stepes līja


sēmā lija
pļavu lija

svītrainā lija







































zāļu platastīte























slīkšņu ceplītis
grīšļu ceplītis





bērspārnu cekuldzeguze
lielā cekuldzeguze
jakobīņu cekuldzeguze

vidējais ērglis
Indijas ērglis
mazais ērglis
kākaulis












































dižknābis



dzeltenknābja dzeguze
melnknābja dzeguze






mangrovju dzeguze







purpura kočo
























banānķauķis


zeltainais dzenis

















zaļais kolibri



Virdžīnijas paipala



























Daurijas kovārnis
kovārnis







marguotais balodis
Bolles balodis


dzeltenacu balodis

džungļu balodis

Japānas balodis
Rjūkjū balodis
lauru balodis

sniega balodis
mājas balodis

meža balodis



lauku balodis

tīģerkakla balodis

kalnu balodis



Madeiras balodis

Boninas balodis




inku zemesdūja

parastā zemesdūja


rudā zemesdūja
















































olīvsānu tirāniņš







lielā pīvija

rietumu pīvija
austrumu pīvija
Karolīnas papagailis






Indijas strazds








žagatu strazds



garastes zilvārna

Indijas zilvārna


zaļā vārna




































mazais grifs







sarkangalvītis


daglā vārna

Amerikas vārna


krauklis
pelēkā vārna
melnā vārna


Meksikas krauklis



krauķis


Meksikas vārna




dižknābja vārna






zivju vārna



īsastes krauklis
tuksneša krauklis



Indijas vārna

apkakles vārna


























malahīta dzenītis





















Svinhū ormanītis
dzeltenais ormanītis

paipala
arlekīnpaipala
Japānas paipala

















































sekstainais strazds
Āfrikas grieze


grieze









































Jemenas ģirlicis




Arābijas ģirlicis















zilais ausfazāns
baltais ausfazāns
Tibetas ausfazāns
brūnais ausfazāns




gludknābja ani

