common_name_et
araabia kivikana
mustkurk-kivikana
lääne-kivikana
madagaskari sinituvi
mauritiuse sinituvi
seišelli sinituvi
komoori sinituvi
vediktikat
lehviktikat
kalkun-rihukana
Floury Baker
ruske-sipelgaööbik
ginea sipelgaööbik
serrado-amatsoonpapagoi
maluku kuningpapagoi
paapua kuningpapagoi
austraalia kuningpapagoi
väikealk
soomus-pilalind
Allen's Swamp Monkey
Ameerika alligaator
Spotted-thighed Poison Frog
Striped Rocket Frog
Allard's Ground Cricket
Striped Ground Cricket
Gray Ground Cricket
Choctaw ground cricket
Southern Ground Cricket
Salt-Marsh Ground Cricket
Tinkling Ground Cricket
Walker's Ground Cricket
jaava habebülbül
lääne-habebülbül
palawani habebülbül
roostekõht-habebülbül
suur-habebülbül
hallpea-habebülbül
kalimantani habebülbül
häälis-habebülbül
ruugepea-pääsuke
vaaraohani
Reunion Shelduck
Mauritius Shelduck
Ursine Howler Monkey
Red-handed Howler Monkey
Black-and-gold Howler Monkey
Spix's Red-handed Howler Monkey
Brown Howler Monkey
Guianan Red Howler Monkey
Mantled Howler Monkey
Yucatán Black Howler Monkey
Bolivian Red Howler Monkey
Colombian Red Howler Monkey
Maranhao Red-handed Howler Monkey
Catalonian Midwife Toad
Iberian Midwife Toad
Common Midwife Toad
paradiisiamadiin
verikurk-amadiin
Lesser Ground-Robin
Greater Ground-Robin
maasik-amadiin
viher-amadiin
kuldamadiin
loduruik
ruugehuik
Talaud Bush-hen
lõuna-tõmmuhuik
filipiini tõmmuhuik
valgerind-huik
Ecuadorian Seedeater
Carrizal Seedeater
Blue Seedeater
Blackish-blue Seedeater
hondurase safiirkoolibri
kaneel-safiirkoolibri
salu-safiirkoolibri
mehhiko safiirkoolibri
kõnnu-safiirkoolibri
sinilaup-amatsoonpapagoi
mustnokk-amatsoonpapagoi
lauk-amatsoonpapagoi
tava-amatsoonpapagoi
sinipea-amatsoonpapagoi
kuldkukal-amatsoonpapagoi
palmi-amatsoonpapagoi
kaktuse-amatsoonpapagoi
rand-amatsoonpapagoi
koldnokk-amatsoonpapagoi
Diademed Amazon
guajaana amatsoonpapagoi
selva-amatsoonpapagoi
jõgi-amatsoonpapagoi
mehhiko amatsoonpapagoi
kuning-amatsoonpapagoi
keiser-amatsoonpapagoi
pagu-amatsoonpapagoi
kuuba amatsoonpapagoi
ekuadori amatsoonpapagoi
andi amatsoonpapagoi
kuldkiird-amatsoonpapagoi
kuldpea-amatsoonpapagoi
punatiib-amatsoonpapagoi
vikerpea-amatsoonpapagoi
lepa-amatsoonpapagoi
haiti amatsoonpapagoi
saintlucia amatsoonpapagoi
purpur-amatsoonpapagoi
tamaulipase amatsoonpapagoi
puertoriiko amatsoonpapagoi
yucatani amatsoonpapagoi
brasiilia part
bambuseturpial
Clicker Round-winged Katydid
Florida Oblong-winged Katydid
Texas false katydid
Oblong-winged Katydid
Rattler Round-winged Katydid
paruk-lehtlalind
meister-lehtlalind
tanu-lehtlalind
ruugetutt-lehtlalind
suurnokk-kangurlind
punapea-turpial
Three-striped Poison Frog
Common River Frog
Cape River Frog
Poynton's River Frog
orulõoke
kaeluslõoke
käristilõoke
kuldkulm-sidrik
kamposidrik
heinasidrik
kõrbelõoke
kivi-kõnnulõoke
india kõnnulõoke
helelõoke
Gray-bellied Antbird
kõnnukana
kõrbekana
Harris' Antelope Squirrel
Texas Antelope Squirrel
White-tailed Antelope Squirrel
Nelson's Antelope Squirrel
rohusidrik
tarnasidrik
randsidrik
kanada rohusidrik
lakklammas
kroonmaina
soomuskotinga
hall-tuttkotinga
kaelus-tuttkotinga
Gray-headed Antbird
Clapping Cicada
Chirping Cicada
Chorus Cicada
manisksidrik
kõnnusidrik
kalkatungu kikksaba
ronitatra-kikksaba
habe-kikksaba
luite-kikksaba
must-kikksaba
kivi-kikksaba
maltsa-kikksaba
kõrbe-kikksaba
seljaku-kikksaba
maiawali kikksaba
mallee-kikksaba
leet-kikksaba
pilbara kikksaba
suur-kikksaba
White-browed Foliage-gleaner
Ochre-breasted Foliage-gleaner
Rufous-tailed Foliage-gleaner
Montane Foliage-gleaner
Scaly-throated Foliage-gleaner
príncipe nektarilind
nõlva-nektarilind
Reichenbach's Sunbird
Dusky-cheeked Foliage-gleaner
White-collared Foliage-gleaner
Mormon Cricket
Ash-breasted Tit-Tyrant
Juan Fernandez Tit-Tyrant
Yellow-billed Tit-Tyrant
Black-crested Tit-Tyrant
Tufted Tit-Tyrant
Pied-crested Tit-Tyrant
puna-kangurlind
kapuuts-kangurlind
Golden Emperor
mustjalg-tüll
puunatüll
pujutüll
mask-mägitüll
erisvöö-tüll
värbtüll
White-faced Plover
lõunatüll
käändnokk-tüll
jaava tüll
kõrbetüll
leetetüll
mägitüll
preeriatüll
ameerika mustjalg-tüll
punarind-tüll
soolakutüll
ruugerind-tüll
malai tüll
punapea-tüll
sainthelena tüll
madagaskari tüll
kõnnutüll
krabitüll
soopart
andamani piilpart
kolumbia piilpart
öö-piilpart
mangroovipart
madagaskari piilpart
hõbe-piilpart
kastan-piilpart
pateke-piilpart
piilpart
mehhiko sinikael-part
kergueleni soopart
tulinokk-part
koldnokk-piilpart
rand-sinikaelpart
koldnokk-soopart
pruun-piilpart
austraalia piilpart
laysani sinikael-part
filipiini part
malagassi part
campbelli piilpart
sinikael-part
laiknokk-part
nõgipart
helmespart
tõmmupart
maskareeni piilpart
väävelnokk-part
havai sinikael-part
hiina laiknokk-part
must-irvnokk
valge-irvnokk
Madras Treeshrew
Chirping Trig
Say's Trig
Fulton's Trig
Pink-spotted Trig
Fast-tinkling Trig
Slow-tinkling Trig
Spring Trig
American Toad
Western Toad
Great Plains Toad
Chihuahuan Green Toad
Fowler's Toad
Canadian Toad
Red-spotted Toad
Oak Toad
Texas Toad
Southern Toad
Woodhouse's Toad
Chestnut-winged Hookbill
täppnokk-mägituukan
tume-mägituukan
kilbis-mägituukan
hele-mägituukan
Andean Poison Frog
kidanokk-koolibri
valgesilm-viherbülbül
Papuan Whipbird
Angustitrella roosevelti
sarvik-ogatiib
ameerika madukael
aasia madukael
austraalia madukael
aafrika madukael
Scarlet-bellied Mountain Tanager
Lacrimose Mountain Tanager
Black-cheeked Mountain Tanager
Black-chinned Mountain Tanager
Blue-winged Mountain Tanager
türkiis-siniaara
hüatsint-siniaara
indigo-siniaara
koldviidas
kaatinga-selvakoolibri
valgekurk-sarvlind
tume-sarvlind
pruun-sarvlind
lõuna-kaljutiir
kaljutiir
tume-tõmmutiir
suur-tõmmutiir
väike-tõmmutiir
suur-laukhani
hallhani
lühinokk-hani
lumehani
randhani
stepihani
väike-laukhani
rabahani
vööthani
väike-lumehani
tundrahani (tundra-rabahani)
harakhani
Nornalup Frog
Yellow-footed Antechinus
manisk-sininäpp
ruugekulm-sininäpp
Orange-breasted Sunbird
tolima tuhkkoolibri
santamarta tuhkkoolibri
Red Wattlebird
Little Wattlebird
Western Wattlebird
Yellow Wattlebird
Xanthomyza phrygia
Chatham Islands Bellbird
New Zealand Bellbird
bantu kukkurtihane
mets-kukkurtihane
lõuna-kukkurtihane
galla kukkurtihane
sudaani kukkurtihane
saheli kukkurtihane
ida-sarvlind
india sarvlind
valgekulm-sarvlind
palawani sarvlind
tawitawi sarvlind
ranniku-sametkoolibri
antilli sametkoolibri
jamaika sametkoolibri
aed-sametkoolibri
hõrendiku-sametkoolibri
panama sametkoolibri
soo-sametkoolibri
sinihänd-sametkoolibri
Anchieta's Sunbird
Violet-tailed Sunbird
Mouse-brown Sunbird
Gray-throated Sunbird
Western Violet-backed Sunbird
Brown-throated Sunbird
Uluguru Violet-backed Sunbird
Eastern Violet-backed Sunbird
Yellow-chinned Sunbird
Plain-backed Sunbird
Red-throated Sunbird
Banded Sunbird
Little Green Sunbird
Plain Sunbird
Gray-chinned Sunbird
lõunageorgia kiur
austraalia niidukiur
kanaari kiur
paramokiur
lühisaba-kiur
Puna Pipit
savannikiur
nõmmekiur
tundrakiur
paraná kiur
väikekiur
aafrika niidukiur
pampakiur
kõnnukiur
väljakiur
mongoolia kiur
põhjakiur
paapua kiur
rohukiur
taigakiur
sotho kiur
Siberian Pipit
kõrrekiur
rünkakiur
karjamaa-kiur
kampokiur
Nicholson's Pipit
nilgiri kiur
lõuna-niidukiur
miombokiur
välukiur
Peruvian Pipit
randkiur
sookiur
niidukiur
roosarind-kiur
leetkiur
Madanga
kagu-niidukiur
nõlvakiur
varjukiur
mägikiur
preeriakiur
rahnukiur
metskiur
kulukiur
saaruskurg
kanada kurg
brolgakurg
idakurg
Pronghorn
helmes-öösorr
Mexican Whip-poor-will
maia öösorr
suur-öösorr
kuuba öösorr
haiti öösorr
puertoriiko öösorr
kärka-öösorr
ruske-öösorr
mehhiko öösorr
kostariika öösorr
siid-öösorr
tamme-öösorr
Pallid Bat
pigiturpial
Firewood-gatherer
Common Short-tailed Cricket
Indies Short-tailed Cricket
mets-rägaruik
Azara’s Night Monkey
Colombian Night Monkey
Andean Night Monkey
Black-headed Night Monkey
Spix's Night Monkey
sumatra järanokk
jaava järanokk
Brown-headed Apalis
Kungwe Apalis
Bamenda Apalis
Masked Apalis
Chapin's Apalis
White-winged Apalis
Chirinda Apalis
Gray Apalis
Yellow-breasted Apalis
Yellow-throated Apalis
Taita Apalis
Gosling's Apalis
Black-throated Apalis
Kabobo Apalis
Karamoja Apalis
Namuli Apalis
Black-headed Apalis
Black-capped Apalis
Black-faced Apalis
Chestnut-throated Apalis
Rudd's Apalis
Buff-throated Apalis
Sharpe's Apalis
Maasai Apalis
Bar-throated Apalis
koldpõsk-järanokk
aafrika järanokk
viir-järanokk
Bonin White-eye
mauritiuse metsruik
sainthelena ruik
Black-billed Flycatcher
Tawny-chested Flycatcher
lauk-sirilind
mustvöö-sirilind
pruunvöö-sirilind
võsa-sininäär
florida sininäär
saare-sininäär
asteegi sininäär
maia sininäär
lääne-sininäär
hallrind-sininäär
Masafuera Rayadito
Thorn-tailed Rayadito
läik-tormilind
Asian Honey Bee
Meemesilane
Bocaina Tree Frog
Guinle Tree Frog
Canebrake Tree Frog
samoa viiralind
pahlsaba-viiralind
väike-viiralind
rarotonga viiralind
kosrae viiralind
tanimbari viiralind
makira viiralind
atolli-viiralind
norfolki viiralind
suur-viiralind
mugaba viiralind
händ-viiralind
mauke viiralind
küüt-viiralind
lühisaba-viiralind
maluku viiralind
lammi-viiralind
mikroneesia viiralind
aasia viiralind
pohnpei viiralind
pruun-viiralind
uuskaledoonia viiralind
okeaania viiralind
roostetiib-viiralind
paletuvi
metshiir
Yapacana Antbird
punatiib-papagoi
timori papagoi
keiserpingviin
kuningpingviin
pruunkiivi
triipkiivi
täpikkiivi
väikekiivi
okarito kiivi
kirdeindia piiritaja (kirdeindia piirpääsuke)
väikepiiritaja (väike-piirpääsuke)
kapverdi piiritaja (kapverdi piirpääsuke)
piiritaja (piirpääsuke)
madagaskari piiritaja (madagaskari piirpääsuke)
lõunapiiritaja (lõuna-piirpääsuke)
pigipiiritaja (pigi-piirpääsuke)
somaali piiritaja (somaali piirpääsuke)
kõrbepiiritaja (kõrbe-piirpääsuke)
sirppiiritaja (sirp-piirpääsuke)
indohiina piiritaja (indohiina piirpääsuke)
kaldapiiritaja (kalda-piirpääsuke)
himaalaja piiritaja (himaalaja piirpääsuke)
astangupiiritaja (astangu-piirpääsuke)
kodupiiritaja (kodu-piirpääsuke)
idapiiritaja
randpiiritaja (rand-piirpääsuke)
tiibeti piiritaja (tiibeti piirpääsuke)
saarepiiritaja (saare-piirpääsuke)
ibeeria kääpakotkas
kongo kotkas
kiilsaba-kotkas
kaljukotkas (maakotkas)
haugaskotkas
paapua kotkas
kääpakotkas
stepikotkas
savannikotkas
aafrika haugaskotkas
mustkotkas
suur-soldataara
ararauna
rohetiib-aara
boliivia ararauna
puna-aara
soldat-aara
mägiaara
jõgiaara
kolmvärv-aara
Streaky-breasted Spiderhunter
Yellow-eared Spiderhunter
Naked-faced Spiderhunter
Thick-billed Spiderhunter
Pale Spiderhunter
Bornean Spiderhunter
Orange-tufted Spiderhunter
Spectacled Spiderhunter
Whitehead's Spiderhunter
Little Spiderhunter
Streaked Spiderhunter
Gray-breasted Spiderhunter
Long-billed Spiderhunter
Russet-naped Wood-Rail
rand-võsaruik
hallkael-võsaruik
amasoonia võsaruik
väike-võsaruik
rohenokk-võsaruik
pruun-võsaruik
suur-võsaruik
norskruik
ruikkurg
tulipea-aratinga
leek-aratinga
Sulphur-breasted Parakeet
mustpea-aratinga
päikese-aratinga
lodu-aratinga
hainani künkakana
mustkurk-künkakana
helmes-künkakana
kambodža künkakana
malai künkakana
taivani künkakana
valjas-künkakana
kaelus-künkakana
kalimantani künkakana
jaava künkakana
punarind-künkakana
mustkiird-künkakana
bataki künkakana
punanokk-künkakana
sichuani künkakana
punakael-künkakana
Sumatran Partridge
himaalaja künkakana
Dapple-throat
mägi-lehtlalind
tumekurk-koolibri
rubiinkurk-koolibri
uusmeremaa merikaru
Antarctic Fur Seal
suur-merikaru
Large Banded Grasshopper
hõbehaigur
aafrika väike-hõbehaigur
hallhaigur
koko-hallhaigur
Eastern Cattle-Egret
koljathaigur
ameerika hallhaigur
tuhkhaigur
veisehaigur
terai-haigur
väike-hõbehaigur
savannihaigur
valgepea-haigur
austraalia väike-hõbehaigur
purpurhaigur
mangroovihaigur
tuhkur-tormilind
kahkjalg-tormilind
tšiili tormilind
mustkõht-tormilind
peegel-tormilind
kiilsaba-tormilind
austraalia tormilind
hiina tiigihaigur
india tiigihaigur
madagaskari tiigihaigur
koldhaigur
paduhaigur
sunda tiigihaigur
saheli trapp
austraalia trapp
hiidtrapp
india trapp
kivirullija
must-kivirullija
argusfaasan
draviidi vadavädrak
tigrise vadavädrak
prill-vadavädrak
triip-vadavädrak
mets-vadavädrak
soo-vadavädrak
sahara vadavädrak
manisk-vadavädrak
kõnnu-vadavädrak
rohu-vadavädrak
dekkani vadavädrak
ruuge-vadavädrak
tulinokk-vadavädrak
araabia vadavädrak
džungli-vadavädrak
ghati vadavädrak
koldlaik-viherbülbül
mustkulm-viherbülbül
mägi-viherbülbül
tüve-viherbülbül
Stripe-cheeked Greenbul
kameruni viherbülbül
uluguru viherbülbül
nõgikiird-viherbülbül
Olive-headed Greenbul
biafra viherbülbül
valgekõht-kuldnokk
hall-metssidrik
andi metssidrik
karbus-metssidrik
punanokk-metssidrik
Yellow-mandibled Sparrow
santamarta metssidrik
tanu-metssidrik
roostekiird-metssidrik
kostariika metssidrik
habe-metssidrik
Moss-backed Sparrow
ruugenokk-metssidrik
kaatinga-metssidrik
marañóni metssidrik
perijá metssidrik
hõbekulm-metssidrik
turimiquire metssidrik
koldnokk-metssidrik
brasiilia metssidrik
kuldõlg-metssidrik
valgekulm-metssidrik
rohekulm-metssidrik
maia padrikusidrik
suur-padrikusidrik
mehhiko padrikusidrik
venetsueela padrikusidrik
ruugekael-prillpiibik
mustpugu-prillpiibik
Frill-necked Monarch
Frilled Monarch
valgepea-vanga
halltuulas
valgetiib-tuulas
aasia tuulas
melaneesia tuulas
valgekõht-tuulas
paapua tuulas
fidži tuulas
väiketuulas
metstuulas
masktuulas
ruskekõht-tuulas
habesidrik
nevada sidrik
Riviersonderend Moss Frog
Drakenstein Moss Frog
Drewes' moss frog
Kogelberg Moss Frog
Landdross Moss frog
Peninsula Moss Frog
Rough Moss Frog
Northern Moss Frog
De Villiers's Moss Frog
Common Squeaker
Bush Squeaker
Dwarf Squeaker
Jamaican Fruit-eating Bat
Great Fruit-eating Bat
African Tailorbird
pikknokk-rätseplind
tõmmu-kärbsenäpp
pääsu-kärbsenäpp
võsa-käosulane
valgepea-padutikat
mangrove cicada
White Drummer
mügri
tontpart
Geoffroy's Trident Leaf-nosed Bat
Sooty Grassquit
Dull-colored Grassquit
Gibberbird
Brown Speckled Cicada
mägiräts
aafrika sooräts
triipräts
sooräts
jamaika räts
madagaskari räts
kõrvukräts
paguräts
tooneräts
mägimotmot
Pouched Frog
Austral Canastero
Dark-winged Canastero
Ayacucho Thistletail
Short-billed Canastero
Berlepsch's Canastero
Ochre-browed Thistletail
Rusty-vented Canastero
Many-striped Canastero
White-chinned Thistletail
Mouse-colored Thistletail
Black-throated Thistletail
Puna Thistletail
Maquis Canastero
Pale-tailed Canastero
Hudson's Canastero
Streak-throated Canastero
Cipo Canastero
Scribble-tailed Canastero
Cordilleran Canastero
Itatiaia Spinetail
Rusty-fronted Canastero
Eye-ringed Thistletail
Perija Thistletail
Canyon Canastero
Sharp-billed Canastero
Line-fronted Canastero
Vilcabamba Thistletail
Junin Canastero
Streak-backed Canastero
paelsaba-paradiisilind
arfaki paradiisilind
laisaba-paradiisilind
pugalsaba-paradiisilind
talbsaba-paradiisilind
ameerika kanakull
väike-tanukull
tšiili tanukull
põhja-tanukull
kanakull
kuuba tanukull
madagaskari kanakull
pugal-kanakull
paapua kanakull
Pale-eyed Pygmy-Tyrant
White-bellied Spider Monkey
Black-faced Black Spider Monkey
Brown-headed Spider Monkey
Central American Spider Monkey
Long-haired spider monkey
White-cheeked Spider Monkey
Guiana Spider Monkey
Selvakoer
ruske-maaraag
sinipea-maaraag
mets-kivikakk
küla-kivikakk
koopakakk
guadalcanali haugaskakk
saalomonisaarte haugaskakk
malaita haugaskakk
kivikakk
makira haugaskakk
valgekulm-haugaskakk
Marsh Mongoose
salu-viherbülbül
välu-viherbülbül
Protean Shieldback
Barbary Ground Squirrel
valgepõsk-võsasidrik
mustpea-võsasidrik
valgekurk-võsasidrik
antioquia võsasidrik
cuzco võsasidrik
lepa-võsasidrik
mustpõsk-võsasidrik
kold-võsasidrik
apurimaci võsasidrik
punapea-võsasidrik
oliiv-võsasidrik
veere-võsasidrik
prill-võsasidrik
väike-võsasidrik
rohe-võsasidrik
santamarta võsasidrik
mustkurk-võsasidrik
laiksilm-võsasidrik
ruugekõht-võsasidrik
perijá võsasidrik
kahkpea-võsasidrik
ruugelaup-võsasidrik
tepui-võsasidrik
mehhiko võsasidrik
marañóni võsasidrik
boliivia võsasidrik
hall-võsasidrik
tanu-võsasidrik
rooste-võsasidrik
leetkiird-võsasidrik
vilcabamba võsasidrik
tume-võsasidrik
kuldkiird-võsasidrik
Adelaide Black Squeaker
Sandstone Squeaker
Bark Squeaker
South-western Bark Squeaker
Black Squeaker
Southern Mountain Squeaker
Small Bark Squeaker
häälis-tihnikulind
väike-tihnikulind
mets-kaljupääsuke
lumekurp
patagoonia kurp
vööpääsuke
maia mägipääsuke
tõmmupääsuke
valgesilm-rebastikat
lammi-rebastikat
selva-rebastikat
araukaaria-rebastikat
karbus-rebastikat
rebastikat (harilik rebastikat)
ekuadori rebastikat
kaktuse-ametüstkoolibri
väike-ametüstkoolibri
ida-smaragdtuukan
valgesilm-rohetuukan
nõlva-rohetuukan
punanokk-rohetuukan
peruu rohetuukan
smaragdtuukan
vagunokk-rohetuukan
tepui-rohetuukan
ameerika kukkurtihane
Auritibicen japonicus
Creaking Branch Cicada
White-striped Free-tailed Bat
Olive-green Coastal Katydid
Fawn-throated Foliage-gleaner
Chiriqui Foliage-gleaner
Olive-backed Foliage-gleaner
Pernambuco Foliage-gleaner
White-eyed Foliage-gleaner
Brown-rumped Foliage-gleaner
Ochre-throated Foliage-gleaner
Para Foliage-gleaner
Chestnut-crowned Foliage-gleaner
Eastern Woodhaunter
Western Woodhaunter
avahi
aafrika tutthaugas
pruun-tutthaugas
must-tutthaugas
madagaskari tutthaugas
lõuna-tutthaugas
naaskelnokk-koolibri
Aksishirv
väike-merivart
preeriavart
austraalia vart
amuuri vart
lannuvart
punapea-vart
tuttvart
madagaskari vart
merivart
maoori vart
valgesilm-vart
suurvart
texase tanutihane
tanutihane
tuhktihane
kadakatihane
valjastihane
herilase-viherbülbül
vile-viherbülbül
Grööni vaal
kingnokk
Antarctic Minke Whale
Heeringavaal
Gray Sac-winged Bat
põhja-kroonkurg
lõuna-kroonkurg
mägi-bambuskana
taivani bambuskana
bambuskana
Lesser Bandicoot-rat
Blue-and-gold Tanager
Gold-ringed Tanager
Moss-backed Tanager
Yellow-green Tanager
Black-and-gold Tanager
Golden-chested Tanager
euroopa laikõrv
Common Saw Bush-cricket
eukalüptipapagoi
koovtilder
suurmotmot
brasiilia motmot
kuldkulm-selvasäälik
väike-selvasäälik
punapõsk-selvasäälik
pirre selvasäälik
mustpõsk-selvasäälik
Costa Rican Warbler
Yungas Warbler
valgekulm-selvasäälik
Tacarcuna Warbler
triip-selvasäälik
leet-selvasäälik
tammekoolibri
ruuge-tammekoolibri
sulawesi tuttmaina
serami tuttmaina
maluku tuttmaina
Eastern Lowland Olingo
Western Lowland Olingo
Olinguito
Ringtail
Cacomistle
Giant Antshrike
oja-rohulind
sõba-rohulind
Cape Batis
Dark Batis
Malawi Batis
Rwenzori Batis
