common_name_he







תפוחית שחורת-סנטר
אפלול מצוי





פצחן



קוקיה צהובת-מקור
קוקיה שחורת-מקור










































נקר צפון-אמריקני





















שליו אמריקני



























קאק לבן-בטן
קאק








יונה קנרית


יונה מרכז-אסייתית





יונת ער


יונת סלעים

יונת עצים
יונה סומלית


יונת ענק







יונה ארוכת-אצבעות







































































יערית מזרחית




















כחל אתיופי

כחל הודי


כחל מצוי












































מלכילון אמריקני
חנקן צהוב-מקור






עורב שחור
עורב אפור
עורב אירופי






עורב מזרע


















עורב קצר-זנב
עורב חום-עורף



עורב הודי





















































שליו נודד
שליו מקושט



















































מלכישליו אפריקני


מלכישליו חלודי









































בזבוז תימני
















חדף מצוי
צבוע נקוד


































































קוקיה אירופית





קוקיה מזרחית


קוקיה הימלאית








סבכי בלארי

סבכי תימני
סבכי רונן
סבכי קוצים
סבכי ערבות
סבכי חורש
סבכי טוחנים
סבכי מדבר מערבי
סבכי טריסטרמי
סבכי חורש מערבי
סבכי רונן מערבי

סבכי שיטים

סבכי שחור-ראש
סבכי קפריסאי
סבכי אשלים
סבכי מדבר
סבכי ניצי
סבכי שחור-גרון
סבכי כהה
סבכי מולטוני

סבכי גלי

רץ מדבר










ירגזי כחול
ירגזי תכול
ירגזי כחול אפריקני






















































עקעק תכול

























ברבור שחור

ברבור קטן
ברבור שר
ברבור שחור-צוואר
ברבור מצוי
































































סיס-דקלים אסייתי

סיס-דקלים אפריקני































סערון הכף

























חרגול לבן מצח




טסית אסייתית


טסית בתים
לבנתן לבן





























נקר לבן-גב

נקר עקוד

נקר סורי

נקר ערבי
נקר בינוני


אווזון שחור-בטן
אווזון חלודי


אווזון קטן
אווזון לבן-פנים







נחליאלי היערות





נקר אפור אפריקני










































































































דרונגו עשנוני


דרונגו שחור














אופסום וירג'יניה
































אלבטרוס נודד












דרורן זהוב
מארה פטגונית
























אמו
דרומס





















נקר גמדי







נקר שחור














































































ימימן אמריקני
























































לבנית כהה


לבנית קטנה
לבנית ים-סוף




לבנית אמריקנית





























דאה אמריקנית

דאה שחורת-כתף



אייל דוד






פיל אסייתי




























גיבתון צווארון
גיבתון חום-ראש
גיבתון הרים

גיבתון אדום-מקור
גיבתון עפרוני

גיבתון צהוב-גבות
גיבתון סלעים
גיבתון אפור
גיבתון חום-חזה
גיבתון משוכות
גיבתון צהוב


גיבתון חום-לחי


גיבתון גנים




גיבתון לבן-כיפה
גיבתון שחור-ראש
גיבתון סוף מזרחי
גיבתון שחור-פנים (מזרחי)

גיבתון גמדי
גיבתון לבן-גרון
גיבתון ערמוני

גיבתון סוף


גיבתון שחור-פנים (מערבי)
גיבתון מרכז-אסייתי
גיבתון מדבר

גיבתון קינמון














חטפית האלמון



חטפית צהובת-גחון




חטפית ער
חטפית ירקרקה

























































חמור הבית
סוס הבית
זברה מצויה
עפרוני סהרה
עפרוני שחור-זנב










צחיחנית חרמון
צחיחנית מדבר





צחיחן שחור-כיפה
צחיחן חום-כיפה

סמרן צפון אמריקאי

קיפוד אירופי
קיפוד לבן בטן











אדום חזה










































לוויתן אפור

פרושית אדומת-משקפיים








פרושית ערבית

אובלנה דרומית
בלנה שחורה


















חופמי ערבה


קואל אסייתי
















































כסוף-מקור אפריקני
כסוף-מקור הודי























































































כחל צהוב-מקור




















שכווי סיבירי

בז אמור



בז צוקים

בז ציידים
בז אדום-עורף
בז גמדי
בז שחור




בז חופים







בז אדום


בז נודד




בז צפון

בז אמריקני
בז עצים

בז מצוי
בז ערב










חתול הבית


חטפית טאיגה
חטפית לבנת-עורף












חטפית שחורת-עורף

חטפית מוגימקי



חטפית גמדית





חטפית טורקית
חטפית אטלס



















































פרנקולין שחור










תוכי-ים אטלנטי
תוכי-ים פסיפי




פריגט חג המולד
פריגט אסנשן
פריגט קטן
פריגט הדור
פריגט גדול
יסעורון לבן-בטן


יסעורון שחור-בטן


פרוש מצוי

פרוש הרים

פרוש כחול קנרי

פרוש כחול

אגמית אמריקנית


אגמית מצויה

אגמית מצויצת




סערון שחפי













































עפרוני מצויץ/מגרב




עפרוני ספרדי











חרטומית ביצות





חרטומית בינונית
חרטומית סיבירית

חרטומית אפריקנית



חרטומית חדת-זנב


סופית





























תרנגול בר


























עורבני





צוללן לבן-מקור
צוללן שחור-גרון
צוללן צפוני
צוללן פסיפי
צוללן אדום-גרון



צבי ערבי







שחפית עבת-מקור
גחן מצוי






























קיכלי סיבירי





































סבכון קנטקי







צהוב-גרון















מגלן מצויץ

























שדמית קטנה
שדמית מזרחית
שדמית שחורת-כנף


שדמית אדומת-כנף





















כוס גמדי



















נתב גדול-סנפיר







































































































עגור אפור

עגור כיפה
עגור שחור-צוואר

עגור חן

ערצב אפריקאי

ערצב הגינה




צרצר דו-כתמי





















קורמורן ימי







































דרורית צהובת-גרון

פרס

נשר לבן-גב
נשר לבן-שת
נשר הכף
נשר מקראי
