common_name_ro





































Uliu porumbar





















Cucuvea




































































































Raţă cucuiată
Raţă cu cap castaniu
Raţă moţată

Raţă cu cap negru

Raţă roşie

























Liliac cârn

















































































































Buhai de baltă cu burta roșie

Izvoraș cu burta galbenă



Mătăsar
















Stârc pitic




Buhai de baltă





















Alcă cu cioc lung


















Gâscă neagră
Gâscă canadiană

Gâsca călugăriţă
Gâscă cu gât roşu


























Buhă




Bufniţă de zăpadă

Mugurar cu trompetă






Graţă sunătoare americană
Graţă sunătoare











Broască râioasă brună



Broască râioasă verde









Pasărea ogorului













Şorecar comun

Şorecar asiatic


Şorecar încălţat








Şorecar mare























































































Ciocârlie de stol



Presură de tundră














Nisipar
Fugaci de ţărm

Fugaci mare
Prundaş de nămol
Fugaci roşcat




Fugaci pătat
Fugaci mic


Bătăuş





Fugaci pitic






















































































































































Șacal auriu



Lup

Lup roșu

























Capra alpină

Căprioară













Caprimulg








































Sticlete












Mugurar roşu








































Breb













































Rândunică roşcată

































































































Măcăleandru roşcat








Cojoaică cu degete scurte

Cojoaică de pădure
















Cerb carpatin




Stufărică





































































































Prundăraş gulerat mare


Prundăraş cu coadă ascuţită




















































Dropie gulerată asiatică


Chirighiţă cu obraz alb
Chirighiţă cu aripi albe
Chirighiţă neagră













Florinte












































































































Pescăruş rozalb




Pescăruş râzător



































































Barză albă



Barză neagră







































Pescărel negru











































































Şerpar



Erete de stuf




Erete vânăt


Erete alb



Erete sur









































Stufărică pătată


































Acvilă ţipătoare mare

Acvilă ţipătoare mică
Raţă de gheţuri






































Liliac cu aripi late





Botgros


































































































Stăncuţă




















Porumbel de casă

Porumbel de scorbură



Porumbel gulerat









































































































Dumbrăveancă




















































Corb
Cioară grivă
Cioară neagră






Cioară de semănătură













































































Prepeliţă























































Cristel de câmp






























































































































Cuc




















Silvie roşcată
Silvie de câmp

Silvie de grădină
Silvie mică







Silvie mediteraneană


Silvie de deşert
Silvie porumbacă
Silvie cu gât negru
















Piţigoi albastru
Piţigoi azuriu

















































































Lebădă neagră

Lebădă mică
Lebădă de iarnă

Lebădă de vară




































































































































Lăstun de casă
Balena-albă





























Ciocănitoare cu spate alb

Ciocănitoare pestriţă mare

Ciocănitoare de grădini


Ciocănitoare de stejar

















































































































































































































































Ciocănitoare pestriţă mică







Ciocănitoare neagră










































































































































Egretă mică





































Gaie cenuşie












































Presură sură


Presură de munte


Presură bărboasă
Presură galbenă





Presură de grădină




Presură cu creştet alb
Presură cu cap negru



Presură mică



Presură de stuf






































Vidră de mare

































































Ciocârlie urecheată











Arici
Arici











Măcăleandru











































































Prundăraş de munte




















































































































































Veveriţa dungată siberiană


















Şoim sudic

Şoim dunărean

Şoim de iarnă





Şoim mediteranean







Vânturel mic


Şoim călător







Şoimul rândunelelor

Vânturel roşu
Vânturel de seară










Pisică de casă
Pisică sălbatică

Muscar gulerat













Muscar negru





Muscar mic





Muscar semigulerat
















































































Cinteză

Cinteză de iarnă








Lişiţă




















































Ciocârlan
















Becaţină comună





Becaţină mare









Găinuşă de baltă
























































Gaiţă






Cufundar polar
Cufundar mare

Cufundar mic











Pescăriţă râzătoare

























































































































Ciovlică negrie


Ciovlică ruginie





















Ciuvică



























































































































Cocor




Cocor mic









Greier de câmp




















Cormoran moţat









































Zăgan




Vultur sur

























Scoicar























Codalb




























































































Greluşel siberian
























































































































Acvilă mică











Piciorong






Frunzăriţă galbenă

Frunzăriţă balcanică

























Rândunică



















































Furtunar comun






Pescăruş mic




Pescăriţă mare

















Brotăcel





Brotăcel răsăritean

















































































































































Pescăruş asiatic

Pescăruş cu cap negru






















































Frunzăriţă cenuşie




























































































Capîntortură





































































Ieruncă alpină

































































































Sfrâncioc roşiatic



Sfrâncioc mare




Sfrâncioc asiatic



Sfrâncioc cu frunte neagră

Sfrâncioc cu mască


Sfrâncioc cu cap roşu









Pescăruş argintiu




Pescăruş pontic

Pescăruş sur



Pescăruş negricios

Pescăruş cu aripi albe

Pescăruş de gheţuri

Pescăruş negru
Pescăruş cu picioare galbene




































































































































































Iepure de zăpadă
Iepure de câmp
































































Sitar de nămol cu cioc lung














Sitar de mal nordic
Sitar de mal
Cânepar
Inăriţă cu cioc galben


















































Greluşel de zăvoi



Greluşel de stuf





Greluşel pătat


































Vidră americană
Vidră cu coadă lungă
















Piţigoi moţat





































































Forfecuţă
Forfecuţă bălţată

Forfecar
















Ciocârlie de pădure




Privighetoare de zăvoi
Privighetoare roşcată

Guşă vânătă
Vidră asiatică
Vidră
Vidră indiană















Becaţină mică


Râs canadian

Râs iberic
Râs roșu



Cocoş de mesteacăn
























































































































































Raţă fluierătoare
Raţă fluierătoare ciliană
Raţă pestriţă







Raţă porumbacă















Jder de piatră

Jder de copac







































































































































Raţă catifelată
Raţă negricioasă













Ciocârlie cu două pete
Ciocârlie de bărăgan


Ciocârlie neagră
























Bursuc


















































































Ferestraş mic

Ferestraş mare

Ferestraş moţat




Prigorie




































































Cormoran mic








































































Gaie neagră
Gaie roşie





















Liliac cu aripi lungi





























































































Mierlă de piatră


Mierlă albastră


Chinghiţă alpină


















Codobatură albă


Codobatură de munte
Codobatură cu cap galben

Codobatură galbenă



















Pârșul de alun














Muscar sur















Hermină


Nevăstuică
Dihor















































































































































Nutrie



















Liliac cu urechi mari
Liliac comun mic






Liliac de iaz
Liliac de apă














Liliac comun
Liliac mustăcios





























































































































































































Nurcă americană




























Hoitar





















































































Raţă cu ciuf




















































































































Alunar




Culic mare




Culic mic

Culic cu cioc subţire



Liliac uriaș de amurg
Liliac mic de amurg
Liliac de amurg



Câinele enot











Stârc de noapte

















































































































Pietrar caucazian



Pietrar mediteranean
Pietrar răsăritean









Pietrar sur



Pietrar negru


































Bizam






























































































Grangur





























































Iepurele de vizuină







Dropie
Vulpe cu urechi mari




















































Ciuş






















Raţă cu cap alb






























































































































Uligan pescar

Leu


tigru
Leopardul zăpezilor
Piţigoi de stuf


















































































Piţigoi mare






Vrabie de casă






Vrabie negricioasă






Vrabie de câmp

















Lăcustar










































Pelican creţ


Pelican comun



















Broasca de pământ brună






Broasca mică verde






Broască mare de lac







































Potârniche

















Piţigoi de brădet










Viespar













































Vrabie de stâncă








































































Cormoran mare










Notătiţă cu cioc lat
Notătiţă



















Fazan

































































Focă obișnuită














Flaming
















Codroş de munte
Codroş de pădure




















































































Pitulice mică





Pitulice întunecată





Pitulice asiatică






















Pitulice balcanică




Pitulice sprâncenată







Pitulice sfârâitoare







Pitulice verzuie
Pitulice fluierătoare































Coţofană





Ciocănitoare de munte



































Ghionoaie sură








Ghionoaie verde











Mugurar de taigă






















Liliac pitic al lui Kuhl


Liliac pitic
Liliac pigmeu






































































Lopătar










































Liliac urecheat brun
Liliac urecheat gri






Pasărea omătului















Ţigănuş














































































Ploier auriu


Ploier argintiu











Corcodel de iarnă
Corcodel mare

Corcodel cu gât roşu

Corcodel cu gât negru
















Piţigoi de livadă
Piţigoi de munte
Piţigoi sur

























































































































































































Cresteţ pestriţ

















































Pisică leopard













































Raton
































Brumăriţă de stâncă




Brumăriţă de pădure

















































































































































































































































































































Vidră uriașă










































































































































Lăstun de stâncă






















Ielcovan estic






Pumă


































































