common_name_id
Kolibri dagu-zamrud
Tepus dahi-merah




























Sikatan biru-putih













Nuri-ara besar
Nuri-ara mata-ganda
Nuri-ara edward
Nuri-ara pipi-kuning




Soang hitam







Sempur-hujan sungai
Kolibri-zamrud mahkota-emas
Kolibri-zamrud canivet
Kolibri mahkota-pirus
Kolibri-zamrud kozumel
Kolibri paruh-lebar
Kolibri tres marias










Sikatan cacing

Sikatan sunda

Sikatan-rimba sula










Sikatan-rimba dada-coklat
Sikatan bakau sulawesi




Sikatan aceh
Sikatan-rimba ekor-merah

Sikatan bakau

Sikatan kalimantan
Sikatan ranting
Sikatan melayu
Sikatan-rimba dada-kelabu
Sikatan biru-muda














Walet-palem asia










Kukabura perut-merah
Kukabura sayap-biru

Raja-udang paruh-sekop
Kukabura aru
















Sitella hitam
Sitella papua
Petrel tanjung






























Layang-layang rumah















Tangkar-uli kalimantan



Tangkar-uli sumatera






Caladi ulam















Belibis kembang


Belibis rumbai
Belibis totol
Belibis polos








Kicuit hutan



































Sikatan kenari





Cabai emas

Cabai panggul-kuning




Cabai panggul-kelabu

Cabai merah


Cabai dada-api

Cabai mantel-merah


Cabai benalu

Cabai dahi-hitam
Cabai perut-kuning



Cabai lombok
Cabai polos
Cabai panggul-hitam
Cabai sulawesi


Cabai papua




Cabai gunung
Cabai dada-api
Cabai bunga-api

Cabai jawa

Cabai kelabu

















Srigunting keladi


Srigunting gagak


Srigunting lencana




Srigunting jambul-rambut
Srigunting kelabu


Srigunting hitam



Srigunting sulawesi

Srigunting batu
Srigunting bukit
































Pelatuk besi










Cendrawasih belah-rotan
Cendrawasih botak
Buntut-duri hijau
Buntut-duri perut-hitam
Buntut-duri letitia
Buntut-duri bendera
Buntut-duri jambul-kawat









Buntut-kacip meksiko
Buntut-kacip selampai

Cucuk-tombak dahi-biru
Cucuk-tombak dahi-hijau








Paruh-sabit ekor-kuning
Paruh-sabit paruh-putih












Kucica-semak alis





















Pelatuk ayam




































Pergam hijau

Pergam gunung

Pergam boke
Pergam laut


Pergam merah
Pergam timor
Pergam tarut


Pergam tutu



Pergam punggung-hitam

Pergam putih


Pergam kalung
Pergam rempah
Pergam mata-putih




Pergam mata-putih
Pergam kelabu
Pergam pinon


Pergam kepala-kelabu
Pergam katanjar

Pergam ekor-ungu
Pergam laut-timur


Pergam zoe


























Nuri bayan




Kepudang-sungu pucat

Kepudang-sungu kai
Kepudang-sungu sumba



Kepudang-sungu bahu-hitam

Kepudang-sungu hitam



Kepudang-sungu perut-hitam
Kepudang-sungu sulawesi








Kepudang-sungu kelabu
Kepudang-sungu sula
Kepudang-sungu miniak




Kuntul cina
Kuntul kecil

Cangak australia
Kuntul belang

Cangak pasifik
































Elang tikus



























Kolibri perut-putih
Kolibri hijau-putih






















































































Meninting besar

Meninting cegar


Meninting kecil
Jalak alis-sapi
Kolibri paruh-pedang


Isap-madu muka-biru







Robin muka-putih
Robin kuning



Bangau leher-hitam


Paruh-sabit kurikuri
Paruh-sabit coklat















































Kolibri-pompom perut-zamrud
Kolibri-pompom perut-tembaga
Kolibri-pompom paha-hitam
Kolibri-pompom topi-biru
Kolibri-pompom leher-pirus
Kolibri-pompom dokoh
Kolibri-pompom pantat-nilam
Kolibri-pompom kaya-warna
Kolibri-pompom dada-emas
Kolibri-pompom dada-hitam
Kolibri-pompom gemerlap

Yuhina perut-putih











Cerek lutut-merah

Paok kalung-biru

Paok mopo sula
Paok mopo
Paok delima







Paok topi-hitam
Elang-alap bahu-coklat



Bondol-hijau dada-merah

Bondol-hijau papua

Bondol-hijau binglis

Bondol-hijau muka-biru
Bondol-hijau triwarna

Wili-wili besar



































Tuwur sulawesi
Tuwur australia
Tuwur asia









Kolibri rivoli
Kolibri talamanka
Robin akik

Paruh-bajak gelambir
Karibi leher-hijau
Karibi leher-ungu




Biang-ranting cili
Gosong maluku









Sikatan-rimba buru

Sikatan dahi-biru
Sikatan bakung
Sikatan ninon
Sikatan-rimba flores
Sikatan pulau
Sikatan matinan


Sikatan hijau-laut









Sipinjur melayu
Kolibri murung
Kolibri ekor-lelayang


Kolibri oaksaka
Kolibri ekor-garis
Kolibri perut-hitam
Kolibri ekor-putih
Haur-dahan meksiko






























































Taktarau gunung
Taktarau tutul
Taktarau iblis

Taktarau kumis

Taktarau papua

Sempur-hujan rimba
Sempur-hujan darat



Tiong-lampu ungu


Tiong-lampu biasa











Cucuk-sabit tepi-putih
Cucuk-sabit ekor-kuning
Seriwang sangihe









Alap-alap coklat

Alap-alap layang













Alap-alap australia

Alap-alap sapi



Alap-alap kawah





Alap-alap macan

Alap-alap walet

Alap-alap erasia

















Sikatan lompobattang
Sikatan buru


Sikatan dada-merah


Sikatan sumba
Sikatan damar
Sikatan kerdil
Sikatan bodoh


Sikatan mugimaki
Sikatan narsis


Sikatan kerongkongan-merah

Sikatan dada-merah

Sikatan leher-merah






Sikatan timor

Sikatan belang
Sikatan emas


Yakubin hitam
Yakubin leher-putih

























































Cikalang christmas

Cikalang kecil

Cikalang besar

















Mandar hitam
































































Delimukan pomo
Delimukan sulawesi
Mandar bontod


Berkik ekor-kipas
Berkik jepang





Berkik rawa





Berkik ekor-lidi


Mandar batu





Mandar kelam


Mandar bakau







Mandar-padi kalung-kuning



Mandar-padi zebra

Mandar gendang






Ayam-hutan merah


Ayam-hutan hijau







Cica-papua merah


Poksai haji








Poksai mantel
Poksai kuda














Isap-madu kepodang



Pelatuk raffles





Dara-laut tiram










Nuri pipi-merah

Nuri kalung-biru


Anis merah

Anis nusa-tenggara
Anis maluku
Anis punggung-merah


Anis kembang
Anis seram
Anis enggano
Anis menden

Anis timor


Anis tanimbar
Anis sibirica




Perkutut australia
Perkutut loreng
Perkutut papua
Perkutut jawa























































Remetuk tunggir-hijau
Remetuk perut-emas

Remetuk panggul-merah


Remetuk biak

Remetuk timor

Remetuk bakau
Remetuk rawa



Remetuk bidadari
Remetuk dada-coklat
Remetuk laut





Terik australia

Terik asia











Beluk-watu jawa





















Kolibri-rahib perunggu
Kolibri-rahib paruh-kait
Kolibri-rahib dada-merah











Perkici lembayung
Isap-madu palsu


Kolibri pipi-merah
Kolibri topi-ungu




Kowak jepang
Kowak melayu
Mambruk ubiaat
Mambruk selatan

Mambruk victoria


Tiong emas

Jalak suren





























































Branjangan-lumpur sungai
Branjangan-lumpur australia






























































Dara-laut putih








Mandar maluku
Mandar muka-biru








