common_name_id
Kolibri dagu-zamrud






























Sikatan sungai

Kehicap pulau
Kehicap sayap-hitam

Kehicap muka-hitam
























Murai-batu arung
























Kicuit batu


Kicuit kerbau




Kicuit kerbau



Pelatuk kelabu-sulawesi

Pelatuk kelabu-besar












Sikatan bubik

Sikatan besi

Sikatan burik


Sikatan bubik sumba

Sikatan sisi-gelap













































Bangau bluwok



Sikatan kilap
Sikatan biak




Sikatan satin




Sikatan kelabu

Sikatan gelisah



Sikatan kelam
Sikatan paruh-lebar













































Berkecet biru-tua





















































Ciung-batu kalimantan
Ciung-batu siul
Ciung-batu kecil-sumatera
Ciung-batu kecil-sunda


Ciung-batu sumatera






































































Biang-ranting ekor-pendek












































Biang-ranting kalung-ungu

Cikarak sulawesi
Cikarak telinga-putih
Myzomela gunung


Myzomela seram
Myzomela merah-tua banda



Myzomela merah-tua sulawesi

Myzomela merah
Myzomela kepala-merah sumba

Myzomela eques

Myzomela kepala-merah



Myzomela wetar




Myzomela hitam

Myzomela remang



Myzomela hitam-merah







Myzomela timor

Myzomela merah-tua sulawesi






Nuri-ara dada-jingga





Berencet paruh-panjang

Berencet berkening



























Pipit matari

























































Perkici paruh-kuning
Perkici paruh-jingga





























































Kolibri bahama
Kolibri inagua


















Trutu hijau
Trutu coklat
















Niltava kumbang-padi


Nilatava sumatera




Pungguk kokodok
Pungguk togian
Pungguk gonggong
Pungguk maluku


Pungguk maluku
Pungguk merah-tua








Pungguk oker



Pungguk tutul



Pungguk wengi
Punggok merah

Pungguk coklat


Pungguk maluku

Pungguk sumba
Petrel palsu


Elang gunung
Elang jawa
Elang brontok
Elang flores

Elang sulawesi
Elang wallace



















































Gajahan besar


Gajahan timur
Gajahan kecil
Gajahan penggala



















Kowak-malam merah



Kowak-malam abu

















Cirik-cirik kumbang










Petrel-badai coklat
























Kolibri-panji setiwel-merah
Kolibri-panji peru
Kolibri-panji setiwel-putih














































Cucuk-panjang kate
Cucuk-panjang kerdil














































































Dara-laut aleutian
Dara-laut batu
Dara-laut sayap-hitam
Dara-laut fiji







Cucuk-kuit gunung













Burung-buah gelatik




Biang-gunung janggut




Perkici arfak



Pipit ekor-api




Biang-bukit ekor-baji
Biang-bukit ekuador
Biang-bukit leher-biru
Biang-bukit andes
Biang-bukit tepi-putih
Biang-bukit dada-hitam
Biang-bukit kepala-hijau



Tepus-tikus merah
Tepus-tikus gunung




Kepudang muka-hitam

Kepudang kuduk-hitam




Kepudang dada-merah
Kepudang muka-hitam

Kepudang bakau
Kepudang seram
Kepudang hitam



Kepudang timor





Kepudang halmahera
Kepudang tunggir-zaitun

Kepudang coklat


Kepudang hutan
Kepudang kerudung-hitam







Pitohui jambul





















Anis kuku-lurus



Kolibri-jambul antilla
Cinenen belukar







Cinenen kelabu

Cinenen jawa
Cinenen merah
Cinenen pisang












Delimukan dewata








Celepuk flores

Celepuk jawa


Celepuk biak

Celepuk raja


Celepuk sangihe












Celepuk reban


Celepuk maluku
Celepuk sulawesi




Celepuk mentawai









Celepuk merah

Celepuk besar




Celepuk sulawesi
Celepuk wallacea

Celepuk gunung
Celepuk sulawesi
Celepuk asia


Celepuk simalur



Kolibri-raja janggut-biru
Kolibri-raja janggut-hijau
Kolibri-raja janggut-putih
Kolibri-raja gading













Kancilan topeng-emas

Kancilan perut-putih
Kancilan tunggir-emas




Kancilan bakau





Kancilan tunawarna

Kancilan karat
Kancilan kalimantan




Kancilan perut-putih
Kancilan lorentz
Kancilan emas

Kancilan ekor-hitam
Kancilan emas
Kancilan papua

Kancilan kepala-hitam
Kancilan flores



Kancilan timor

Kancilan pulau




Kancilan obuhai

Kancilan kelabu
Kancilan Sclater
Kancilan perut-kuning





Robin hijau
Robin mata-putih

Cabai gesit
Cabai rimba
Cabai tunggir-coklat







Petrel antartika


























Gelatik timor
Gelatik jawa







Kepak-sabel sayap-lengkung
Kepak-sabel merah
Delimukan beccari



Delimukan wetar
Delimukan dada-putih









Elang tiram
Kolibri leher-api








Angsa-batu christmas













Paradigalla ibinimi
Paradigalla ekor-panjang
Cendrawasih besar


Cendrawasih kecil

Cendrawasih merah

















Burung-buah jambul

































Parotia carola
Parotia carola


Parotia arfak

Gelatuk-batu kelabu





















Burung-gereja erasia



































Kolibri-raksasa selatan









Merak hijau




Petrel-badai muka-putih

Pekaka emas
Pekaka bua-bua





Undan kacamata



Undan putih
Undan paruh-totol




Pelanduk sulawesi
Pelanduk buttikofer

Pelanduk topi-hitam
Pelanduk semak


Pelanduk dada-putih


Pelanduk bukit
Pelanduk merah



















Peltops hutan
Peltops gunung







































Sepah kecil
Sepah padang



Sepah tulin
Sepah kerdil
Sepah gunung

Sepah dagu-kelabu
Sepah hutan















Sikep-madu sulawesi
Sikep-madu asia


















Layang-layang bidadari


Layang-layang pohon







Robin salju

Robin gunung





































Kadalan birah
Kadalan beruang


Kadalan saweh
Kadalan kera




Kolibri dada-sisik
Kolibri kelam

Buntut-sate putih
Buntut-sate merah
Kolibri-rahib tapajos
Kolibri-rahib perut-pucat
Kolibri-rahib leher-hitam
Kolibri-rahib topi-jelaga
Kolibri-rahib paruh-lurus
Kolibri-rahib leher-sisik
Kolibri-rahib dagu-kelabu
Kolibri-rahib hijau
Kolibri-rahib janggut-putih
Kolibri-rahib mungil
Kolibri-rahib koepcke
Kolibri-rahib paruh-panjang
Kolibri-rahib kecil
Kolibri-rahib paruh-besar
Kolibri-rahib meksiko
Kolibri-rahib leher-cokelat
Kolibri-rahib paruh-jarum
Kolibri-rahib planalto
Kolibri-rahib karat
Kolibri-rahib leher-lurik
Kolibri-rahib leher-kelam
Kolibri-rahib leher-garis
Kolibri-rahib alis-putih
Kolibri-rahib perut-putih
Kolibri-rahib ekor-panjang
Kolibri-rahib perut-pirang
Kolibri-rahib kumis-putih





Pecuk-padi besar






Pecuk-padi hitam




Kaki-rumbai kecil
















































Cikukua mamberano
Cikukua tanduk
Cikukua kecil

Cikukua lantang


Cikukua hitam
Cikukua timor
Cikukua abu
Cikukua kerdil
Cikukua maluku
Cikukua maluku
Cikukua seram
Philentoma sayap-merah
Philentoma kerudung





Biang-ranting leher-patma
Biang-ranting leher-ungu












Buntut-belang peru
Buntut-belang ekuador


Serak bukit





































Manukodia terompet


































Cinenen gunung































Cikrak kutub






Cikrak mahkota-coklat




Cikrak mahkota






Cikrak muda






Cikrak polos










Cikrak dada-kuning










Cikrak pulau

Cikrak timor






Cikrak sulawesi








Cikrak daun


























































Tukik belang
















Pelatuk muka-kelabu
Pelatuk jambul-kuning

Pelatuk sayap-merah






Pelatuk hijau












































































Pitohui kepala-hitam
Pitohui belang






Paok laus


Paok halmahera
Paok bakau
Paok hujan

Paok bidadari


Paok hijau


Paok lantang




Tiong-batu kalimantan







Ibis-sendok raja













Tangkar ongklet
















Tangkar kambing

































Ibis rokoroko

Robin leher-hitam






































Manyar emas





Manyar jambul











Manyar tempua





















Cerek kernyut
Cerek besar





Berencet kerdil
Paruh-kodok pualam
Paruh-kodok papua




Titihan jambul




























Robin belang
































































Tikusan alis-putih




















Kolibri dada-biru
Kolibri menawan
Kolibri dada-lembayung
Kolibri-komet ekor-perunggu








Kuau-kerdil sumatera





Kuau-kerdil kalimantan







Koroh-emas ekor-putih
Koroh-emas tepui
Koroh-emas ekor-hijau













Cica-kopi melayu









Cica-papua topi-kelabu

Cica-koreng mahkota-polos

Cica-koreng kecil































Mandar besar































Perenjak jawa

Perenjak rawa




Perenjak padi




Perenjak coklat







Perenjak gunung





Kring-kring dada-kuning

Kring-kring buru



Kring-kring bukit


Pentis raja
Pentis pelangi

Pentis kumbang
Pentis kalimantan
















Kakatua raja









































































Madi injap







































Ibis karau









Petrel tahitai




































Pitohui karat
Pitohui perut-putih













Takur tohtor


Takur tenggeret

Takur gedang
Takur bututut


Takur leher-hitam




Takur ungkut-ungkut
Takur topi-merah

Takur tulungtumpuk

Takur bultok

Takur gunung
Takur warna-warni

Takur bukit
Takur tengkuk-emas
Takur api
Takur tutut




















Nuri-macan brehm
Nuri-macan madarasz
Nuri-macan sederhana
Nuri-macan berbiru
Betet biasa












Betet ekor-panjang








Nuri tanau

Nuri kabare









Cendrawasih panji









































Petrel barau
























Petrel tunggir-hitam





























Kepak-nilam besar





























Poksai genting







Poksai genting



Ciu kunyit

Ciu besar






Walik dahi-jingga


Walik putih

Walik lunggung
Walik rawamanu


Walik benjol




Walik kepala-kelabu


Walik perut-jingga


Walik kembang

Walik topi-biru
Walik kerdil
Walik buma

Walik mutiara



Walik kepala-ungu
Walik elok


Walik ratu

Walk dada-putih

Walik solomon

Walik raja


Walik dada-lembayung
Walik wallacea



Berencet kalimantan




Isap-madu panggul-merah
Isap-madu punggung-merah
Isap-madu punggung-karat
Isap-madu kuning
Isap-madu tunggir-hitam
Isap-madu kelam


Toowa cemerlang
Toowa cemerlang


Tepus-permata biru
Tepus-permata belang

Tepus-permata gunung






















































Cucak kutilang

Cucak gunung

Merbah mata-merah






Merbah gunung
Merbah cerukcuk







Merbah belukar

Merbah corok-corok



Cucak mutiara



Cucak rawa

Isap-madu pualam
Isap-madu polos
Isap-madu kepala-coreng



























































































Umukia raja
Mandar-burung koma
Mandar-gunung garis-putih
Mandar-gunung mayr
Mandar-gunung merah

Tikusan kaki-kelabu
Tikusan ceruling
Tikusan tukar














Kolibri mahkota-ungu
Kolibri dahi-hijau







Walik kuping-merah

Walik jambu





Walik malomiti













Kolibri-rahib paruh-gergaji
Cucuk-duri punggung-hitam
Cucuk-duri punggung-ungu





Isap-madu punggung-coklat











































Uncal besar









Julang jambul hitam
Kangkareng sulawesi




Kancilan burik
Kadalan sulawesi
Kapinis-jarum kecil











































Rangkong gading









Kadalan selaya
Kipasan gunung



Kipasan dagu-putih
Kipasan hitam

Kipasan dwiwujud




Kipasan seram
Kipasan flores

Kipasan dada-hitam
Kipasan bukit

Kipasan ekor-coklat

Kipasan perut-coklat
Kipasan belang



Kipasan kebun
Kipasan-semak perut-putih

Kipasan-semak hitam







Kipasan tanimbar
Kipasan mutiara

Kipasan bakau
Kipasan ekor-merah

Kipasan tunggir-merah
Kipasan dada-hitam
Kipasan dada-lurik








Kipasan buru

Kipasan sulawesi
Kipasan-semak bayan





Puyuh siul-selanting






Kolibri oasis



































Julang sulawesi
Julang sumba

Julang irian
Julang dompet
Julang emas



Kolibri kepala-biru
Kolibri-zamrud brace
Kolibri-zamrud puerto riko
Kolibri-zamrud kuba
Kolibri-zamrud hispaniola







Layang-layang pasir








Puyuh sengayan



Berkik-kembang besar








Cucak kuning




Cucak kuning















































































Itik gunung







Kolibri-komet ekor-merah


















Tukik tikus


Kolibri widura
Kolibri dada-deragem
Kolibri ekor-tembaga
Kolibrii topi-nila
Kolibri topi-terusi
Kolibri ekor-biru
Kolibri perut-salju
Kolibri pantat-biru
Kolibri pantat-baja
Kolibri tunggir-tembaga
Kolibri perut-hijau


Decu belang


Decu timor




Decu batu

























Cucuk-belati leher-putih
Cucuk-belati geoffroy


































Jalak tunggir-merah






















































Berkik-gunung sulawesi


Berkik-gunung maluku
Berkik-gunung papua

Berkik-gunung merah

































































Karakalo australia

Kolibri leher-kilau
Kolibri kaliopia
Kolibri leher-lembayung
Kolibri vulkan
Kolibri bombus
Kolibrii ekor-lebar
Kolibri kesumba
Kolibri allen
Kolibri kemilat






Cendrawasih mati-kawat

Bidadari halmahera










Ratu-api juan fernandez
Ratu-api punggung-hijau
Sericornis kecil





Sericornis besar

Namdur api
Namdur api


Madi dada-perak





















































Empuloh paruh-kait














































Cikrak-peri topi biru







Munguk loreng







Munguk beledu























































Itik jurai

































Burung-ara wetar
Burung-ara hijau
Burung-ara hijau
















Tekukur biasa


Elang-ular bido


Elang-ular kinabalu

Elang-ular sulawesi




























































































Tepus dada-putih


Tepus telinga-putih
Tepus tunggir-merah
Tepus kepala-hitam
Tepus kaban


Tepus kepala-kelabu

Tepus lurik
Tepus leher putih







Yuhina kalimantan













Kolibri-mayoret jambul-hijau
Kolibri-mayoret jambul-ungu



Camar-kejar kecil
Skua kutub
Camar-kejar arktika
Camar-kejar pomarin



Dara-laut jambon


Dara-laut biasa



Dara-laut tengkuk-hitam



Kolibri dada-ungu
Dara-laut kecil





















































Blibong sula
Blibong pendeta
Dederuk jawa










Dederuk merah


















Kukuk beluk







Kukuk seloputo




























Angsa-batu topeng

Angsa-batu coklat

Angsa-batu kaki-merah














Kedasi hitam
Kedasi hitam











































Cekakak gunung
Cekakak torotoro

Kehicap hitam

Kehicap kacamata
Kehicap boano
Kehicap biak

Kehicap tanahjampea
Kehicap tutul

Kehicap kofiau
Kehicap kai
Kehicap buru

Kehicap bertopi


Kehicap tanimbar

Kehicap merah
Kehicap flores
Kehicap kacamata

















































Puyuh batu
Puyuh jayawijaya
Puyuh coklat






















Titihan australia

Titihan telaga























Elang-alap shikra



Elang-alap kalung
Elang-alap maluku

Elang-alap coklat

Elang-alap nipon

Elang-alap halmahera
Elang-alap kelabu


Elang-alap mantel-hitam

Elang-alap kecil

Elang-alap pucat-sosonokan

Elang-alap dada-merah

Elang-alap cina
Elang-alap ekor-totol
Elang-alap besra











Beluk-watu gunung

Pipit zebra



Kolibri totol-zaitun
Maleo kamur
Maleo paruh-hitam
Maleo kerah-coklat

















































Betet-kelapa buru
Betet-kelapa filipina
Betet-kelapa paruh-besar
Betet-kelapa punggung-biru
Cekakak-pita numfor

Cekakak-pita kofiau
Cekakak-pita biasa
Cekakak-pita kecil

Cekakak-pita bidadari
Cekakak-pita biak
Cekakak-pita dada-jingga




Kolibri-komet perut-kelabu
Kolibri payet-hijau









Berkecet ekor-biru














































Jingjing petulak

Opior dwiwarna









Seriwang jepang




Seriwang pilipina





Seriwang asia





Tesia timor

Tesia jawa

































Dara-laut benggala
Dara-laut jambul
Dara-laut cina





Haur-dahan mahkota
Haur-dahan ekor-cabang
Haur-dahan topi-ungu
Haur-dahan ekor-panjang







































Kolibri tumbes
Kolibri leher-totol
Buntut-kacip peru










Cerek kalung-kecil



Cerek paruh-panjang


















Kolibri-janggut ekor-pucat
Kolibri-janggut jelaga
Kolibri-janggut ekor-belang


Ibis cucuk-besi
Ibis australia

Ibis papua














































Tepus gelagah
Cucuk-lurus zaitun
Cucuk-lurus coklat

























Cekakak kalung-coklat
Cekakak sungai


Cekakak biru-putih
Cekakak talaud

Cekakak murung


Cekakak lazuli

Cekakak rimba
Cekakak biru-hitam






Cekakak australia
Cekakak pantai




























Kolibri-cempaka merah
Kolibri-cempaka api










Cucuk-panjang perut-kuning
Cucuk-panjang dagu-kelabu











































Punai pompadora


Punai siam

Punai besar

Delimukan puyuh
Punai flores

Punai bakau
Punai penganten

Punai kecil
Punai salung




Punai timor



Punai gagak
Punai sumba
Punai gading





Perkici pelangi



Perkici timor

Perkici pelangi
Perkici pelangi







Perkici pelangi




Perkici pelangi






Brinji rambut-tunggir








Trinil ekor-kelabu
Trinil tutul
Trinil kaki-kuning
Trinil semak
Trinil nordmann
Trinil penjelajah

Trinil kaki-hijau
Trinil hijau


Trinil rawa
Trinil kaki-merah




















Kolibri-pita paruh-merah
Kolibri-pita paruh-hitam














































Puyuh-gonggong kalung


Delimukan puyuh











Merpati-hitam sulawesi
Merpati-hitam timor


Berencet leher-hitam
Berencet besar
Berencet pualam



















































































Anis kuning











Anis gunung






















Anis sulawesi








Gemak sumba

Gemak totol







Gemak loreng
Gemak tegalan

















































Serak minahasa

Serak padang
Serak taliabu
Serak australia

Serak sulawesi

Serak hitam








Hupo tunggal




Kolibri-zamrud andes







Biang-bukit bibir-merah
Biang-bukit punggung-hijau




















Punggok papua











Buntut-tumpul timor
Buntut-tumpul kalimantan
Lawi-putih oto-ungu
Lawi-putih pantat-merah











Trulek kelabu




Trulek gelambir-merah


Trulek jawa



Trulek topeng













Sikatan-rimba gunung





















































































































Isap-madu dada-coklat

Isap-madu tutul
Camar sabine



























Trinil bedaran

























































Caladi belacan


Caladi tilik


Caladi sulawesi




Kadalan kembang








Tikusan merah





Tikusan siberia
Tikusan kerdil

Tikusan polos







































Bambangan rimba









Anis hutan


Anis sisik

Anis kinabalu


Anis geomalia


Anis larat














Kacamata makasar
Kacamata topi-hitam
Kacamata halmahera
Kacamata dahi-hitam



Kacamata-kuning buru

Kacamata laut


Kacamata limau
Kacamata sulawesi


Opior mata-hitam


Kacamata belukar







Kacamata jawa
Kacamata arfak

Kacamata kai-besar











Kacamata-kuning ambon

















Kacamata dagu-kuning




Kacamata biak

Kacamata sangihe

Kacamata papua




Kacamata biasa














Kacamata togian

Kacamata seram







Kacamata kai-kecil










