common_name_hu




lebenyes guán
kenyai nektármadár
aranyörves nektármadár
Reichenow-nektármadár
vöröstorkú nektármadár
rubinvörös nektármadár
kis zöld nektármadár
fakó nektármadár

déli-georgiai pityer

kanári pityer
kolumbiai pityer
rövidfarkú pityer

kafferpityer
parlagi pityer
rozsdástorkú pityer
Chaco-pityer
szavannapityer
fahéjszínű pityer
Correndera pityer
szirti pityer
fehérhasú pityer
mongol pityer
tundrapityer
pápua pityer
Hellmayr-pityer
olívhátú pityer
afrikai sarkantyúspityer

barnahátú pityer
csíkos pityer
malindi pityer
sárgamellű piyter

nilgiri pityer
ausztrál sarkantyúspityer

gólyalábú pityer

parti pityer
réti pityer
sarkantyús pityer
rózsás pityer
vörhenyes pityer
narancstorkú pápaszemesmadár
keleti sarkantyúspityer
hosszúcsőrű pityer
Sokoke-pityer
havasi pityer
préri pityer
gyékény pityer
erdei pityer
Vaal-pityer
Antigoné-daru
kanadai daru
Brolga-daru
amuri daru

foltosfarkú lappantyú

guatemalai lappantyú
karolinai lappantyú
kubai lappantyú

Puerto Rico-i lappantyú
barnatorkú lappantyú
rozsdás lappantyú
Salvin-lappantyú
hegyi lappantyú
selymes lappantyú
síró lappantyú

atlanti gulyamadár
rőzseszedő madár








szumátrai trogon
jávai trogon





fehérszárnyú liánposzáta


fehértorkú liánposzáta

Taita-liánposzáta




Namulu-liánposzáta










kantáros trogon
szalagosfarkú trogon
bonin-szigeteki pápaszemesmadár
mauritiusi vörös guvat
Szent Ilona-szigeti guvat

karibi tirannusz
déli fehérarcúmadár
szalagos fehérarcúmadár

bozótszajkó
floridai bozótszajkó
szigeti bozótszajkó
ultramarin szajkó
egyszínű szajkó



tűzföldi tüskefarkú
kergueleni hojsza





szamoai énekesseregély
búbos énekesseregély
pápua énekesseregély
rarotongai énekesseregély
kosrae-szigeti seregély
tanimbar-szigeteki énekesseregély
San Cristobal-i énekesseregély
atoll énekesseregély
norfolk-szigeti énekesseregély
galléros énekesseregély
rennell-szigeti énekesseregély
hosszúfarkú énekesseregély
rejtélyes énekesseregély
fémes énekesseregély
szunda-szigeteki énekesseregély
malukui énekesseregély
bajszos énekesseregély
karolina-szigeteki énekesseregély
maláj énekesseregély
ponapei seregély
rozsdáshátú énekesseregély
csíkos énekesseregély
déltengeri énekesseregély
rozsdásszárnyú énekesseregély
afrikai citromgalamb


pirosszárnyú papagáj
Timor-pirosszárnyú papagáj
császárpingvin
királypingvin
barna kivi
északi-szigeti barna kivi
nagy foltos kivi
kis foltos kivi
okaritói barna kivi
fényeshátú sarlósfecske
kis sarlósfecske
zöld-foki sarlósfecske
sarlósfecske

fokföldi sarlósfecske
szerecsen sarlósfecske
szokotrai sarlósfecske
damara sarlósfecske
kaffer sarlósfecske

földi sarlósfecske

barna sarlósfecske
nepáli sarlósfecske
keleti sarlósfecske
halvány sarlósfecske

egyszínű sarlósfecske
ibériai sas
Cassin-vitézsas
ékfarkú sas
szirti sas
héjasas
pápua sas
parlagi sas
pusztai sas
szavannasas
afrikai héjasas
kaffer sas
nagy katonaara
sárga-kék ara
zöldszárnyú ara
kéktorkú ara
sárgaszárnyú ara
kis katonaara
vörösfülű ara
vörösszárnyélű ara
kubai ara
szumátrai pókvadász
sárgabarkós pókvadász
csupaszfejű pókvadász
vastagcsőrű pókvadász

borneói pókvadász

pápaszemes pókvadász
Whitehead-pókvadász
fehértorkú pókvadász
nagy pókvadász

hosszúcsőrű pókvadász

barnasapkás erdeiguvat
szürkenyakú erdeiguvat
vörösszárnyú erdeiguvat
parti guvat
Saracura-guvat
Esmeralda-erdeiguvat
Ypecaca-guvat
horkoló guvat
óriásguvat
aranyosfejű aratinga
jandaya aratinga

nandajpapagáj
nappapagáj
barnafejű aratinga
hainani erdeifogoly


kambodzsai erdeifogoly



galléros hegyifogoly

jávai erdeifogoly

fehérarcú hegyifogoly




szumátrai erdeifogoly


Archbold-lugasépítő
feketetorkú kolibri
tüzestorkú kolibri




nagy kócsag

szürke gém
kókuszgém

Góliátgém
királygém
madagaszkári gém
pásztorgém
fehérhasú gém
középkócsag
feketenyakú gém
fehérnyakú gém

vörös gém
nagycsőrű gém
Buller-vészmadár
barna vészmadár
rószaszínlábú vészmadár
nagy vészmadár
szürke vészmadár
változékony vészmadár
vékonycsőrű vészmadár
kínai üstökösgém
indiai üstökösgém
kékcsőrű gém
üstökösgém
vöröshasú gém
pompás indonéz üstökösgém
arab túzok

óriástúzok
nagy indiai túzok
kőforgató
kormos kőforgató
Argus-páva

iraki rigótimália

hosszúfarkú rigótimália


vörhenyes rigótimália






arab rigótimália
csíkos rigótimália




Shelley-bülbül
olajzöldmellű bülbül
egyszínű bülbül



erdei bülbül
Abott-fényseregély





























fodros császárlégykapó
fehérfejű vanga
feketeképű fecskeseregély
fehérszárnyú fecskeseregély
hamuszürke fecskeseregély
melanéz fecskeseregély
fehérhasú fecskeseregély
óriás-fecskeseregély
fidzsi fecskeseregély
törpe-fecskeseregély
fehérhátú fecskeseregély
álarcos fecskeseregély
szemsávos fecskeseregély
Bell-sármány
















hosszúfarkú varrómadár


vastagcsőrű nádirigó




dzsungelréce

feketemellű kölespinty

sivatagi dalnok

etióp fülesbagoly
mocsári fülesbagoly
trópusi fülesbagoly
réti fülesbagoly
jamaicai bagoly
madagaszkári fülesbagoly
erdei fülesbagoly
félelmetes bagoly
Styx fülesbagoly
kéktorkú motmot



















halvány kosarasmadár


szemgyűrűs tűfarkúcinege







selyemszalagos paradicsomszarka
legyezős paradicsomszarka
huon-félszigeti paradicsomszarka
pompás paradicsomszarka
Stefánia-hercegnő paradicsomszarka

kétszínű héja

Cooper-héja
héja
kubai héja
madagaszkári héja
szerecsenhéja
feketehátú héja









pettyesbegyű földiszalakóta
kékfejű földiszalakóta
erdei kuvik
brama kuvik
üregi bagoly

salamon-szigeteki héjabagoly

kuvik

madagaszkári héjabagoly

sárgatorkú bülbül























halványfejű bozótpinty



















lármás bozótjáró
rőt bozótjáró

vörhenyeshasú homokjáró
fehérhasú homokjáró


fehérlábú erdeifecske





sárgafarkú attila


pajzsos kolibri




perui zöldtukán
hagymazöld tukán


aranycinege










sárgatorkú fürkészmadár





afrikai kakukkhéja
Jerdon-kakukkhéja
háromszínű kakukkhéja
madagaszkári kakukkhéja
búbos baza
gulipáncsőrű kolibri

búbos réce
amerikai barátréce
ausztrál cigányréce
mandzsu réce
örvös réce
barátréce
kontyos réce
madagaszkári cigányréce
hegyi réce
maori cigányréce
cigányréce
rókafejű réce

indiáncinege
oregoni cinege
borókacinege
kantáros cinege
Sjostedt-bülbül
fehérfarkú bülbül

papucscsőrű madár



feketenyakú koronásdaru
szürkenyakú koronásdaru
hegyi bambusztyúk

kínai bambusztyúk





fekete-sárga hegyitangara



örvös rozellapapagáj
hosszúfarkú cankó
rozsdásfejű motmot
rozsdás motmot













celebeszi királymajna
malukui királymajna
sisakos királymajna





óriás-hangyászgébics
rozsdáshasú rókaposzáta
szürkehasú rókaposzáta






ituri pergőlégykapó














óriás-békaszájú

szunda-szigeteki békaszájú
Hartlet-békaszájú
Hodgson-békaszájú
jávai békaszájú

Srí Lankai békaszájú
rövidfarkú békaszájú
fülöp-szigeteki békaszájú
maláj békaszájú





üstökös szarvascsőrű


Gmelin-bülbül






lebernyeges réce

szürkefejű bléda
zöldfarkú bléda

vörösfarkú bléda






















zafírkolibri


levágottfarkú papagáj
piroshomlokú ajmarapapagáj
Katalin-papagáj
vastagcsőrű andokpapagáj
tarkacsőrű mézevő
Eungella-mézevő





cédruscsonttollú
csonttollú
amuri csonttollú
galléros császármadár


törpeíbisz
lebenyes íbisz
hadadaíbisz
olajfényű íbisz
foltosnyakú íbisz


vörhenyes törpegém
amerikai törpegém


amerikai bölömbika
